iter	Logloss
0	0.6844140026
1	0.6758553323
2	0.6685468858
3	0.6610832103
4	0.6539783207
5	0.6472064194
6	0.6416584944
7	0.6363036776
8	0.6315189929
9	0.627107302
10	0.6226793368
11	0.6186336081
12	0.6146142457
13	0.6111620579
14	0.6080775137
15	0.6051088386
16	0.6024753727
17	0.599775552
18	0.5973973776
19	0.5953404801
20	0.5934083044
21	0.5914128503
22	0.5890842387
23	0.5871513304
24	0.5853295534
25	0.5836866455
26	0.5821809868
27	0.580471468
28	0.5790795271
29	0.5778022642
30	0.5762890307
31	0.5751950831
32	0.5741833351
33	0.5732388184
34	0.5724250722
35	0.5712260358
36	0.5701778606
37	0.5693071547
38	0.5684315996
39	0.5675823044
40	0.5665648032
41	0.5657628415
42	0.5651054832
43	0.5645063304
44	0.5637300395
45	0.56297973
46	0.5623151638
47	0.5617934109
48	0.5612486203
49	0.5606055067
50	0.5601050057
51	0.559589592
52	0.5590149156
53	0.5584692791
54	0.5578727096
55	0.5572875972
56	0.5568535041
57	0.5564428612
58	0.5558519713
59	0.555299051
60	0.5547313388
61	0.5543058873
62	0.5538467713
63	0.5534105469
64	0.5529559094
65	0.5525505486
66	0.5520927632
67	0.5517920315
68	0.5514243418
69	0.550854187
70	0.550437212
71	0.5501092276
72	0.5496896103
73	0.5493028676
74	0.5489172142
75	0.5485561776
76	0.5482618693
77	0.5479860872
78	0.547690375
79	0.5473566128
80	0.5470516269
81	0.5467322406
82	0.5464720866
83	0.5460539125
84	0.5458615239
85	0.5455973461
86	0.5454166589
87	0.5451646595
88	0.5447682505
89	0.5445875146
90	0.5442470418
91	0.5438737399
92	0.5435787062
93	0.5432048917
94	0.5430071065
95	0.542759891
96	0.5424726584
97	0.5422065177
98	0.5419258416
99	0.5415960346
100	0.5413320754
101	0.5410556889
102	0.5408587096
103	0.5406788687
104	0.5404681576
105	0.5403356413
106	0.5400452897
107	0.5397638711
108	0.5395498738
109	0.5393611195
110	0.5391307441
111	0.5389040646
112	0.5386468209
113	0.538404145
114	0.5381777499
115	0.5380175184
116	0.537772497
117	0.5375712307
118	0.5373234023
119	0.5370768767
120	0.5368171378
121	0.5365617554
122	0.5363757569
123	0.5361442367
124	0.5358816632
125	0.5357381611
126	0.5355652357
127	0.5352659066
128	0.5350629918
129	0.5348373237
130	0.5347339415
131	0.5345996437
132	0.5344238782
133	0.5342081552
134	0.5339957986
135	0.5338198052
136	0.5336689542
137	0.5334101493
138	0.5332368052
139	0.5331082201
140	0.5330029717
141	0.5328188004
142	0.5326972099
143	0.5325752952
144	0.5323633584
145	0.532201004
146	0.5319816499
147	0.5317507213
148	0.5315078754
149	0.5313812685
150	0.531274017
151	0.5309568862
152	0.5308386897
153	0.5306733671
154	0.5305585132
155	0.5304467354
156	0.5302888545
157	0.5300726362
158	0.5299405152
159	0.529851851
160	0.5297054981
161	0.5294745641
162	0.5292397798
163	0.5289143485
164	0.5288144891
165	0.5287084958
166	0.5284800326
167	0.5283384927
168	0.5282223472
169	0.5280785519
170	0.5278171832
171	0.5276889556
172	0.527557637
173	0.5274688231
174	0.5272409336
175	0.5270356422
176	0.5269181564
177	0.5266486291
178	0.5265216655
179	0.526178564
180	0.526011554
181	0.5259272201
182	0.5257264689
183	0.5255238147
184	0.5253302218
185	0.5251751312
186	0.5249959059
187	0.5248925304
188	0.5247122551
189	0.5244626445
190	0.5242987033
191	0.5242100149
192	0.5240504307
193	0.523968056
194	0.5238692134
195	0.5237888087
196	0.5236757331
197	0.5235442507
198	0.5234241422
199	0.523314435
200	0.523193595
201	0.5230769125
202	0.5229250899
203	0.5227549296
204	0.5225774632
205	0.5225054695
206	0.5223300786
207	0.522148397
208	0.5220062842
209	0.5218112431
210	0.5216855956
211	0.5215585571
212	0.5214006509
213	0.5211899717
214	0.5209906606
215	0.5208535066
216	0.5206827262
217	0.5205734339
218	0.5204535872
219	0.5203270786
220	0.5202140991
221	0.5201010206
222	0.5199538457
223	0.5198554203
224	0.5197693012
225	0.5196537835
226	0.5195361044
227	0.5192935826
228	0.5190824606
229	0.5189365686
230	0.5188285383
231	0.5187299295
232	0.5186259557
233	0.5185033797
234	0.5183484387
235	0.5181727034
236	0.5180699243
237	0.5178987571
238	0.5176204892
239	0.5175022059
240	0.5173570992
241	0.5172398068
242	0.5170629779
243	0.5169505071
244	0.5167781914
245	0.5166307809
246	0.5165469723
247	0.5164635257
248	0.5163058173
249	0.5161151729
250	0.5159473543
251	0.5158060589
252	0.5156776121
253	0.5154297329
254	0.5152553472
255	0.5151370293
256	0.5149945531
257	0.5148581318
258	0.5146573222
259	0.5145085826
260	0.5143294965
261	0.5140548695
262	0.5138424734
263	0.5135601794
264	0.5133012095
265	0.5131974488
266	0.5129741467
267	0.5128006732
268	0.5125255537
269	0.5123901721
270	0.512098802
271	0.5117637003
272	0.5116208536
273	0.5114663778
274	0.5112992638
275	0.5111731659
276	0.511018751
277	0.5108613886
278	0.5106873649
279	0.5105040735
280	0.510412144
281	0.5103027959
282	0.5101952274
283	0.5100973328
284	0.5098897064
285	0.5096533271
286	0.5094984545
287	0.5092892399
288	0.5090626107
289	0.5088467739
290	0.5086706832
291	0.5084137227
292	0.5082321767
293	0.5080483195
294	0.5079382438
295	0.5077831155
296	0.5075817607
297	0.5074618169
298	0.5072756505
299	0.507136409
300	0.5069324616
301	0.5067594311
302	0.5064576278
303	0.50630463
304	0.5061423412
305	0.5059734736
306	0.5058372421
307	0.5057331138
308	0.5055220319
309	0.5053422777
310	0.5052442503
311	0.5050663116
312	0.5049268539
313	0.5047185649
314	0.5045259137
315	0.5044326907
316	0.5042500658
317	0.5040706266
318	0.5039573002
319	0.5036820182
320	0.5035449188
321	0.5033022753
322	0.5031475214
323	0.5029455364
324	0.5027558127
325	0.5025724122
326	0.5023931077
327	0.5022145762
328	0.5020748317
329	0.5019187123
330	0.5017829159
331	0.5015874014
332	0.5013419275
333	0.5012350232
334	0.5011150235
335	0.5009174534
336	0.5007668081
337	0.5006400435
338	0.5004194188
339	0.5002060533
340	0.5000766682
341	0.4999120716
342	0.4997490113
343	0.4996251462
344	0.4994244734
345	0.4992764262
346	0.499141411
347	0.4989983582
348	0.4988960523
349	0.4987755572
350	0.4986223732
351	0.4984438136
352	0.4982352487
353	0.4981243795
354	0.4979400783
355	0.4978170813
356	0.4976906751
357	0.497551104
358	0.4973623454
359	0.4972159928
360	0.4970862099
361	0.4969990532
362	0.496837887
363	0.4966829212
364	0.4965168209
365	0.4963573484
366	0.4962342367
367	0.4961385865
368	0.4959982559
369	0.4957916667
370	0.4956822994
371	0.4955470968
372	0.4953984426
373	0.4952386154
374	0.4950897167
375	0.4949570078
376	0.4947718283
377	0.4946653874
378	0.4945176011
379	0.4943833583
380	0.4942655552
381	0.4940931809
382	0.4939031632
383	0.4937705464
384	0.4936413547
385	0.4934599705
386	0.4933619095
387	0.4932275571
388	0.4930857148
389	0.4929481167
390	0.4928203421
391	0.4926430593
392	0.4925135439
393	0.4923230258
394	0.4922263842
395	0.4920856676
396	0.491898209
397	0.4918060471
398	0.4916498425
399	0.4914555104
400	0.4913048953
401	0.4912032615
402	0.4910054809
403	0.4908567751
404	0.4907120574
405	0.4905498687
406	0.4903813638
407	0.4902787853
408	0.4901368673
409	0.4899792173
410	0.4898712004
411	0.489751408
412	0.4896423313
413	0.4894712866
414	0.4893008567
415	0.4891545384
416	0.4890459727
417	0.4888913549
418	0.4887705584
419	0.4886654143
420	0.4885526375
421	0.4884171077
422	0.4882921208
423	0.4881488929
424	0.4879623307
425	0.4877712012
426	0.4876264606
427	0.4875579883
428	0.4874307407
429	0.487311592
430	0.4871481961
431	0.4870375441
432	0.4869366275
433	0.4868619697
434	0.4867297529
435	0.4865716614
436	0.4864362289
437	0.48631551
438	0.4862124576
439	0.4860899533
440	0.485937077
441	0.4857157361
442	0.485559452
443	0.4854151495
444	0.4852594748
445	0.4850747765
446	0.4849475836
447	0.4848151975
448	0.4847196629
449	0.4845590702
450	0.4844216026
451	0.4842712956
452	0.4841728322
453	0.4840781857
454	0.4840445203
455	0.4839361756
456	0.4838111121
457	0.483715672
458	0.483578114
459	0.4834301958
460	0.4833231822
461	0.4832608148
462	0.4830981867
463	0.4829986463
464	0.4828738089
465	0.4827518899
466	0.4826446977
467	0.4825174065
468	0.4823776776
469	0.4822327703
470	0.4820640408
471	0.481924687
472	0.4818300031
473	0.4816872182
474	0.4816115708
475	0.4815420719
476	0.4814141489
