iter	Passed	Remaining
0	177	177271
1	199	99319
2	221	73446
3	243	60615
4	266	53049
5	288	47839
6	311	44187
7	332	41238
8	355	39143
9	379	37580
10	401	36084
11	426	35142
12	449	34114
13	471	33236
14	493	32387
15	514	31660
16	535	30952
17	559	30526
18	580	29966
19	600	29435
20	622	29023
21	642	28549
22	663	28166
23	683	27796
24	704	27469
25	724	27139
26	745	26864
27	766	26620
28	786	26339
29	807	26102
30	831	26002
31	853	25822
32	874	25612
33	894	25427
34	914	25215
35	936	25085
36	959	24982
37	982	24865
38	1007	24832
39	1032	24779
40	1056	24714
41	1078	24607
42	1098	24441
43	1122	24390
44	1143	24275
45	1164	24151
46	1187	24068
47	1209	23989
48	1247	24213
49	1271	24157
50	1294	24079
51	1320	24081
52	1344	24022
53	1368	23965
54	1390	23883
55	1412	23806
56	1434	23726
57	1454	23619
58	1475	23528
59	1508	23633
60	1531	23569
61	1551	23469
62	1572	23389
63	1592	23290
64	1613	23216
65	1638	23180
66	1658	23100
67	1679	23013
68	1698	22919
69	1720	22855
70	1740	22771
71	1761	22697
72	1782	22630
73	1802	22552
74	1824	22504
75	1846	22452
76	1865	22366
77	1885	22289
78	1904	22206
79	1924	22127
80	1956	22202
81	1978	22146
82	1998	22082
83	2021	22048
84	2059	22172
85	2095	22269
86	2114	22193
87	2134	22123
88	2157	22086
89	2180	22046
90	2201	21990
91	2221	21929
92	2243	21884
93	2265	21835
94	2286	21778
95	2305	21710
96	2326	21658
97	2346	21599
98	2368	21554
99	2390	21514
100	2411	21461
101	2436	21448
102	2459	21422
103	2480	21368
104	2501	21323
105	2521	21269
106	2542	21218
107	2563	21173
108	2585	21137
109	2606	21086
110	2626	21037
111	2646	20986
112	2668	20948
113	2690	20911
114	2711	20863
115	2730	20811
116	2751	20766
117	2771	20719
118	2792	20674
119	2846	20872
120	2868	20837
121	2889	20793
122	2910	20750
123	2930	20704
124	2964	20754
125	2986	20713
126	3007	20670
127	3030	20645
128	3064	20693
129	3088	20667
130	3111	20642
131	3136	20623
132	3157	20585
133	3179	20547
134	3202	20521
135	3224	20483
136	3249	20471
137	3271	20436
138	3292	20392
139	3315	20364
140	3335	20319
141	3356	20280
142	3378	20246
143	3399	20209
144	3421	20176
145	3444	20149
146	3466	20115
147	3487	20076
148	3509	20043
149	3558	20167
150	3625	20385
151	3668	20464
152	3689	20426
153	3709	20380
154	3730	20339
155	3750	20292
156	3771	20248
157	3793	20213
158	3815	20179
