appid,new_date
508440,2021-04-01
1366540,2021-01-21
1288310,2021-02-04
774181,2021-02-26
1361320,2021-02-11
1467450,2021-12-10
1092790,2021-10-19
1454400,2021-09-01
1421250,2021-04-16
1698960,2021-10-15
1307580,2021-09-17
1507970,2021-01-14
1806840,2021-11-15
1082430,2021-04-08
1250760,2021-08-17
1390350,2021-09-09
597170,2021-07-27
1469280,2021-01-21
1584090,2021-10-01
1530140,2021-02-08
1708870,2021-08-14
488860,2021-09-29
1388880,2021-06-30
1604000,2021-12-16
1713610,2021-08-23
1567800,2021-05-14
1196590,2021-05-07
607080,2021-08-24
1255980,2021-04-19
1426210,2021-03-26
990630,2021-10-07
1520370,2021-12-16
1388770,2021-06-16
1806040,2021-11-19
1655140,2021-07-29
892970,2021-02-02
1714320,2021-09-16
1291340,2021-08-26
1504500,2021-09-01
1764390,2021-10-26
1408230,2021-07-15
1830840,2021-12-19
1407420,2021-09-07
1290490,2021-05-07
1715460,2021-12-17
1727650,2021-09-04
1641270,2021-06-11
1609230,2021-06-11
1190000,2021-08-11
1161170,2021-09-10
1127500,2021-07-20
337320,2021-07-29
874260,2021-07-28
1268960,2021-03-26
1546570,2021-04-15
1182620,2021-09-30
1625450,2021-06-05
1123450,2021-06-10
1536610,2021-04-01
1557740,2021-04-01
1506980,2021-10-21
1481400,2021-09-24
939400,2021-11-15
584640,2021-09-24
1227650,2021-03-03
1566410,2021-05-03
1800730,2021-11-11
1511860,2021-09-03
1580970,2021-05-20
1545450,2021-04-30
1304680,2021-02-25
1229380,2021-03-04
1206560,2021-12-02
1088850,2021-10-26
1369630,2021-06-21
860510,2021-02-10
763890,2021-06-15
1217060,2021-11-18
1516240,2021-03-05
1722570,2021-08-27
1754720,2021-09-29
1419170,2021-03-24
1062090,2021-09-15
1255650,2021-06-01
1111460,2021-11-12
1597730,2021-11-01
1510030,2021-01-15
1333910,2021-03-19
843380,2021-08-26
601840,2021-06-01
1277940,2021-06-11
578540,2021-04-19
1634150,2021-08-25
1808800,2021-11-22
1003590,2021-08-18
417360,2021-02-12
1216710,2021-02-03
1310990,2021-06-20
1637370,2021-06-30
1722620,2021-09-30
1504020,2021-02-12
1205450,2021-04-22
915310,2021-05-17
1626890,2021-07-15
1440670,2021-01-28
1578860,2021-07-03
1591290,2021-04-16
1138850,2021-12-07
1639790,2021-08-18
1812820,2021-12-10
941460,2021-08-05
1481080,2021-04-07
1517850,2021-12-17
1424660,2021-03-19
1158850,2021-07-27
1046480,2021-10-13
1282730,2021-03-04
1406850,2021-11-02
1256670,2021-08-10
1619750,2021-12-15
1421790,2021-06-22
795420,2021-04-15
1734320,2021-12-17
1361230,2021-12-12
1423370,2021-11-08
1398740,2021-08-26
1147560,2021-01-20
894020,2021-07-20
1259420,2021-05-18
1601680,2021-05-31
1782210,2021-10-29
1603980,2021-09-21
1435790,2021-10-19
1456880,2021-10-14
1730360,2021-12-22
1662840,2021-08-27
1554840,2021-04-09
1280770,2021-06-25
1213230,2021-04-15
1484720,2021-10-19
1369670,2021-12-17
1476340,2021-01-19
1372320,2021-09-01
1173770,2021-07-28
1499120,2021-08-24
1119980,2021-09-28
1178830,2021-11-12
1345820,2021-07-15
1546860,2021-03-19
598550,2021-05-12
1564090,2021-03-17
1599880,2021-08-26
1245540,2021-11-01
1078420,2021-06-03
1227690,2021-09-17
1494190,2021-03-01
1638660,2021-08-13
1195290,2021-11-16
1710930,2021-10-13
1688580,2021-09-29
1674170,2021-08-26
1173010,2021-02-26
1532510,2021-02-16
829280,2021-03-26
1511270,2021-08-26
1203630,2021-03-27
1682490,2021-09-15
1569040,2021-11-09
1135690,2021-11-02
1444480,2021-10-02
1274570,2021-01-28
1444300,2021-09-23
1144200,2021-12-17
1591570,2021-09-13
1555710,2021-03-11
1675670,2021-10-18
1292020,2021-09-04
1477790,2021-06-16
1508460,2021-01-29
1269950,2021-02-18
1342330,2021-01-21
1328670,2021-05-14
1673190,2021-09-30
720620,2021-04-15
1126310,2021-10-14
1648390,2021-11-29
976620,2021-04-02
1260810,2021-06-24
1138660,2021-08-10
1542810,2021-08-17
1639610,2021-06-02
1620340,2021-07-02
1570960,2021-07-21
1546790,2021-10-07
1131190,2021-01-05
1388590,2021-03-25
1262040,2021-11-04
848450,2021-05-14
1625080,2021-05-24
1669490,2021-10-08
1828630,2021-12-31
1822190,2021-12-03
471710,2021-09-02
1125240,2021-11-03
1558510,2021-09-17
1198090,2021-04-09
1518770,2021-02-26
729000,2021-12-09
1351630,2021-07-06
1367590,2021-08-27
1267910,2021-11-18
1662480,2021-10-18
1577420,2021-04-09
1802720,2021-11-06
1384160,2021-06-11
1549550,2021-08-05
1521580,2021-12-10
1569520,2021-10-15
1724050,2021-12-09
1170060,2021-07-08
1762270,2021-11-24
1579380,2021-12-06
1413870,2021-04-15
1144020,2021-03-30
1587710,2021-06-12
1379560,2021-02-19
1289810,2021-12-03
