;appid;required_age;is_free;controller_support;dlc;metacritic;metacritic_tf;windows;mac;linux;platforms_num;recommendations;achievements;release_date;days_after_release
0;1118200;0.0;0.0;0;0.0;;0;1.0;0.0;0.0;1.0;171726.0;17.0;;
1;646570;0.0;0.0;1;1.0;89.0;1;1.0;1.0;1.0;3.0;112284.0;46.0;;
2;1055540;0.0;0.0;1;0.0;82.0;1;1.0;1.0;1.0;3.0;11187.0;12.0;;
3;460950;0.0;0.0;1;1.0;83.0;1;1.0;1.0;0.0;2.0;50745.0;22.0;;
4;883710;18.0;0.0;1;13.0;89.0;1;1.0;0.0;0.0;1.0;88551.0;44.0;;
5;1170880;0.0;1.0;0;1.0;;0;1.0;0.0;0.0;1.0;0.0;0.0;;
6;736260;0.0;0.0;1;1.0;87.0;1;1.0;1.0;1.0;3.0;15246.0;18.0;;
7;787480;0.0;0.0;0;4.0;80.0;1;1.0;0.0;0.0;1.0;15933.0;30.0;;
8;457140;0.0;0.0;0;2.0;86.0;1;1.0;1.0;1.0;3.0;93525.0;45.0;;
9;1070710;0.0;0.0;0;1.0;;0;1.0;1.0;1.0;3.0;6786.0;0.0;;
10;1093910;0.0;0.0;0;0.0;;0;1.0;0.0;0.0;1.0;9020.0;15.0;;
11;851100;0.0;0.0;0;1.0;;0;1.0;0.0;0.0;1.0;11214.0;22.0;;
12;1067310;0.0;1.0;1;0.0;;0;1.0;0.0;0.0;1.0;0.0;20.0;;
13;942970;0.0;0.0;0;3.0;72.0;1;1.0;1.0;0.0;2.0;24937.0;12.0;;
14;620980;0.0;0.0;0;152.0;93.0;1;1.0;0.0;0.0;1.0;62595.0;26.0;;
15;1044620;0.0;0.0;0;7.0;;0;1.0;0.0;0.0;1.0;3264.0;22.0;;
16;814380;18.0;0.0;1;0.0;88.0;1;1.0;0.0;0.0;1.0;167036.0;34.0;;
17;601150;18.0;0.0;1;32.0;89.0;1;1.0;0.0;0.0;1.0;65795.0;55.0;;
18;601220;0.0;0.0;0;0.0;;0;1.0;0.0;0.0;1.0;7369.0;640.0;;
19;1067850;0.0;0.0;1;0.0;;0;1.0;1.0;1.0;3.0;3260.0;24.0;;
20;512900;0.0;0.0;1;3.0;;0;1.0;1.0;1.0;3.0;13505.0;52.0;;
21;926990;0.0;0.0;1;4.0;;0;1.0;1.0;0.0;2.0;5056.0;82.0;;
22;1122720;0.0;0.0;1;1.0;;0;1.0;0.0;0.0;1.0;6578.0;24.0;;
23;1082710;0.0;0.0;1;1.0;86.0;1;1.0;0.0;0.0;1.0;3598.0;30.0;;
24;557340;0.0;0.0;1;1.0;81.0;1;1.0;0.0;0.0;1.0;22237.0;30.0;;
25;732690;0.0;0.0;0;1.0;;0;1.0;0.0;0.0;1.0;8863.0;15.0;;
26;812810;0.0;1.0;0;1.0;;0;1.0;1.0;1.0;3.0;0.0;4.0;;
27;1122750;0.0;1.0;0;1.0;;0;1.0;0.0;0.0;1.0;0.0;14.0;;
28;813780;0.0;0.0;0;6.0;84.0;1;1.0;0.0;0.0;1.0;109078.0;237.0;;
29;1127400;0.0;0.0;0;0.0;;0;1.0;1.0;1.0;3.0;12755.0;88.0;;
30;943700;0.0;1.0;0;0.0;;0;1.0;0.0;0.0;1.0;0.0;0.0;;
31;1160490;0.0;0.0;0;6.0;;0;1.0;0.0;0.0;1.0;2408.0;12.0;;
32;992310;0.0;1.0;1;0.0;;0;1.0;0.0;0.0;1.0;0.0;0.0;;
33;1069230;0.0;0.0;0;0.0;;0;1.0;0.0;0.0;1.0;2318.0;14.0;;
34;1147690;0.0;1.0;0;0.0;;0;1.0;0.0;0.0;1.0;0.0;61.0;;
35;858210;0.0;0.0;1;1.0;;0;1.0;1.0;0.0;2.0;8613.0;40.0;;
36;844590;0.0;0.0;0;1.0;83.0;1;1.0;1.0;1.0;3.0;2735.0;14.0;;
37;774171;0.0;0.0;1;1.0;;0;1.0;1.0;0.0;2.0;78499.0;39.0;;
38;1038740;0.0;0.0;0;1.0;;0;1.0;1.0;0.0;2.0;2849.0;13.0;;
39;944020;0.0;0.0;0;1.0;;0;1.0;0.0;0.0;1.0;2419.0;11.0;;
40;1031480;0.0;0.0;0;1.0;;0;1.0;0.0;0.0;1.0;1901.0;28.0;;
41;1064610;0.0;1.0;1;2.0;;0;1.0;1.0;0.0;2.0;643.0;27.0;;
42;980300;0.0;0.0;0;0.0;83.0;1;1.0;0.0;0.0;1.0;3371.0;63.0;;
43;1103210;0.0;1.0;0;0.0;;0;1.0;1.0;0.0;2.0;0.0;0.0;;
44;1045520;0.0;0.0;0;0.0;;0;1.0;1.0;1.0;3.0;4626.0;19.0;;
45;611760;0.0;0.0;0;0.0;;0;1.0;1.0;0.0;2.0;1271.0;25.0;;
46;986800;0.0;0.0;0;2.0;79.0;1;1.0;0.0;0.0;1.0;1726.0;24.0;;
47;692850;0.0;0.0;1;2.0;;0;1.0;0.0;0.0;1.0;24443.0;45.0;;
48;927380;0.0;0.0;1;1.0;82.0;1;1.0;0.0;0.0;1.0;9380.0;59.0;;
49;1198320;0.0;1.0;0;0.0;;0;1.0;0.0;0.0;1.0;0.0;0.0;;
50;314650;0.0;0.0;0;12.0;;0;1.0;0.0;0.0;1.0;7401.0;0.0;;
51;1033420;0.0;0.0;0;0.0;;0;1.0;0.0;0.0;1.0;985.0;0.0;;
52;1046030;0.0;0.0;0;0.0;82.0;1;1.0;1.0;0.0;2.0;14185.0;38.0;;
53;572890;0.0;0.0;0;1.0;74.0;1;1.0;1.0;1.0;3.0;5608.0;14.0;;
54;813630;0.0;0.0;1;1.0;85.0;1;1.0;0.0;0.0;1.0;8277.0;98.0;;
55;598980;0.0;0.0;0;1.0;;0;1.0;0.0;0.0;1.0;4139.0;27.0;;
56;914710;0.0;0.0;1;0.0;76.0;1;1.0;0.0;0.0;1.0;3203.0;9.0;;
57;1058020;0.0;0.0;0;0.0;;0;1.0;0.0;0.0;1.0;3245.0;0.0;;
58;621000;0.0;0.0;0;0.0;;0;1.0;0.0;0.0;1.0;1542.0;20.0;;
59;1010750;0.0;0.0;0;0.0;77.0;1;1.0;0.0;0.0;1.0;4763.0;20.0;;
60;1018850;0.0;0.0;1;2.0;;0;1.0;1.0;0.0;2.0;1516.0;24.0;;
61;621060;0.0;0.0;0;11.0;;0;1.0;0.0;0.0;1.0;38081.0;94.0;;
62;937580;0.0;0.0;0;0.0;;0;1.0;0.0;0.0;1.0;960.0;0.0;;
63;996580;0.0;0.0;1;0.0;;0;1.0;0.0;0.0;1.0;9750.0;105.0;;
