;appid;required_age;is_free;controller_support;dlc;metacritic;windows;mac;linux;platforms_num;recommendations;achievements;release_date;release_date_final
0;1145360;0;0.0;full;1.0;93.0;1.0;1.0;0.0;2.0;208227.0;49.0;2020-Sep-17;2020-09-17
1;546560;0;0.0;;1.0;93.0;1.0;0.0;0.0;1.0;69405.0;42.0;2020-Mar-23;2020-03-23
2;1089980;0;0.0;;;;1.0;1.0;0.0;2.0;34695.0;82.0;2020-ug-7A;
3;1229490;0;0.0;full;;;1.0;0.0;0.0;1.0;55302.0;0.0;2020-ep-3S;
4;1289310;0;1.0;;1.0;;1.0;1.0;1.0;3.0;382.0;10.0;2020-May-11;2020-05-11
5;1144400;0;0.0;;;;1.0;0.0;0.0;1.0;12351.0;26.0;2020-Feb-14;2020-02-14
6;1150690;0;0.0;full;1.0;87.0;1.0;1.0;0.0;2.0;50221.0;84.0;2020-Dec-25;2020-12-25
7;1281930;0;1.0;;;;1.0;1.0;1.0;3.0;;;2020-мая-16;
8;1230140;0;0.0;;1.0;;1.0;0.0;0.0;1.0;10603.0;;2020-Jun-18;2020-06-18
9;548430;0;0.0;full;10.0;85.0;1.0;0.0;0.0;1.0;166132.0;69.0;2020-May-13;2020-05-13
10;739630;0;0.0;full;;;1.0;0.0;0.0;1.0;450335.0;;2020-сен-18;
11;1129190;0;1.0;;7.0;;1.0;0.0;1.0;2.0;348.0;22.0;2020-Nov-16;2020-11-16
12;526870;0;0.0;;;;1.0;0.0;0.0;1.0;112729.0;;2020-un-8J;
13;1240210;0;0.0;;1.0;89.0;1.0;1.0;0.0;2.0;17586.0;34.0;2020-ug-6A;
14;1113000;0;0.0;full;;87.0;1.0;0.0;0.0;1.0;54518.0;50.0;2020-Jun-13;2020-06-13
15;427520;0;0.0;;1.0;90.0;1.0;1.0;1.0;3.0;134543.0;38.0;2020-Aug-14;2020-08-14
16;667970;0;0.0;;2.0;;1.0;0.0;0.0;1.0;10848.0;;2017-ug-3A;
17;1057090;0;0.0;full;1.0;88.0;1.0;0.0;0.0;1.0;102668.0;37.0;2020-Mar-10;2020-03-10
18;632360;0;0.0;full;3.0;85.0;1.0;0.0;0.0;1.0;157356.0;118.0;2020-Aug-11;2020-08-11
19;1241510;0;0.0;full;;;1.0;0.0;0.0;1.0;17906.0;;2020-Feb-24;2020-02-24
20;1392820;0;0.0;;1.0;;1.0;1.0;1.0;3.0;16035.0;3.0;2020-Aug-26;2020-08-26
21;1369320;0;1.0;;1.0;;1.0;1.0;1.0;3.0;;8.0;2020-ct-7O;
22;1277930;0;0.0;;;;1.0;0.0;0.0;1.0;2964.0;21.0;2020-Dec-18;2020-12-18
23;1292940;0;0.0;;;;1.0;1.0;0.0;2.0;4375.0;72.0;2020-Oct-14;2020-10-14
24;1428310;0;0.0;full;;;1.0;0.0;0.0;1.0;4857.0;;2020-Oct-12;2020-10-12
25;1282200;0;0.0;full;;;1.0;0.0;0.0;1.0;5387.0;;2020-Apr-27;2020-04-27
26;1406990;0;0.0;;1.0;;1.0;0.0;0.0;1.0;7364.0;19.0;2020-Nov-26;2020-11-26
27;1434480;0;0.0;;1.0;;1.0;0.0;0.0;1.0;2549.0;37.0;2020-Oct-30;2020-10-30
28;1171370;0;1.0;;2.0;;1.0;0.0;0.0;1.0;;;2020-Jan-28;2020-01-28
29;1211020;0;0.0;full;;;1.0;0.0;0.0;1.0;11743.0;43.0;2020-ul-8J;
30;1285670;0;0.0;full;;;1.0;0.0;0.0;1.0;7074.0;7.0;2020-ug-6A;
31;1281800;0;1.0;;;;1.0;1.0;0.0;2.0;;8.0;2020-Apr-29;2020-04-29
32;1202540;0;0.0;;;;1.0;0.0;0.0;1.0;4540.0;15.0;2020-Feb-28;2020-02-28
33;897220;0;0.0;;1.0;;1.0;0.0;0.0;1.0;2137.0;15.0;2020-eb-5F;
34;1337010;0;0.0;full;;79.0;1.0;0.0;0.0;1.0;3692.0;9.0;2020-Dec-11;2020-12-11
35;1369340;0;0.0;;1.0;;1.0;0.0;0.0;1.0;2686.0;20.0;2020-Oct-12;2020-10-12
36;610370;17;0.0;full;5.0;86.0;1.0;1.0;1.0;3.0;7810.0;36.0;2020-Jun-16;2020-06-16
37;362890;0;0.0;;;84.0;1.0;0.0;1.0;2.0;89263.0;50.0;2020-ar-6M;
38;1178030;0;1.0;;1.0;;1.0;0.0;0.0;1.0;;;2020-Jan-17;2020-01-17
39;1126320;0;0.0;;3.0;;1.0;0.0;1.0;2.0;9327.0;98.0;2020-Feb-13;2020-02-13
40;1172450;0;0.0;full;1.0;;1.0;1.0;0.0;2.0;4591.0;20.0;2020-Oct-27;2020-10-27
41;1140270;0;0.0;full;9.0;;1.0;1.0;1.0;3.0;4213.0;49.0;2020-Oct-23;2020-10-23
42;1377360;0;0.0;;1.0;;1.0;1.0;0.0;2.0;3369.0;21.0;2020-ct-2O;
43;1102190;0;0.0;full;2.0;86.0;1.0;0.0;0.0;1.0;16197.0;53.0;2020-May-21;2020-05-21
44;1241700;0;1.0;;;;1.0;1.0;0.0;2.0;;7.0;2020-Mar-18;2020-03-18
45;1318690;0;0.0;;2.0;;1.0;1.0;1.0;3.0;8655.0;45.0;2020-un-7J;
46;1161870;0;0.0;;1.0;;1.0;0.0;0.0;1.0;1731.0;14.0;2020-Mar-16;2020-03-16
47;346010;0;0.0;;;;1.0;1.0;1.0;3.0;40777.0;36.0;2020-Feb-18;2020-02-18
48;972660;0;0.0;full;2.0;84.0;1.0;1.0;1.0;3.0;27461.0;39.0;2020-Aug-18;2020-08-18
49;753640;0;0.0;full;2.0;85.0;1.0;0.0;0.0;1.0;43627.0;31.0;2020-Jun-18;2020-06-18
50;881100;0;0.0;;1.0;;1.0;0.0;0.0;1.0;48839.0;14.0;2020-Oct-15;2020-10-15
51;1349230;0;0.0;;;;1.0;1.0;1.0;3.0;5405.0;;2020-Jul-22;2020-07-22
52;1237970;0;0.0;full;5.0;86.0;1.0;0.0;0.0;1.0;138895.0;50.0;2020-Jun-18;2020-06-18
53;1235140;0;0.0;full;6.0;83.0;1.0;0.0;0.0;1.0;16122.0;63.0;2020-Nov-10;2020-11-10
54;1104380;0;0.0;;;;1.0;0.0;0.0;1.0;2983.0;6.0;2020-Mar-26;2020-03-26
55;1239080;0;0.0;;;;1.0;0.0;0.0;1.0;6010.0;;2020-ov-3N;
56;1449690;0;0.0;full;;;1.0;0.0;0.0;1.0;6114.0;23.0;2020-Oct-29;2020-10-29
57;466630;0;0.0;full;2.0;81.0;1.0;1.0;1.0;3.0;3250.0;10.0;2020-Jan-29;2020-01-29
58;1419860;0;1.0;;;;1.0;0.0;0.0;1.0;;8.0;2020-Nov-19;2020-11-19
59;1218900;0;0.0;;;;1.0;0.0;0.0;1.0;3564.0;512.0;2020-Dec-21;2020-12-21
60;837470;0;0.0;full;;79.0;1.0;1.0;0.0;2.0;12790.0;25.0;2020-Sep-23;2020-09-23
61;1168470;0;0.0;;;;1.0;1.0;0.0;2.0;1565.0;14.0;2020-an-2J;
62;1232180;0;0.0;full;1.0;;1.0;0.0;0.0;1.0;1522.0;;2020-Feb-10;2020-02-10
63;1211630;0;0.0;full;;;1.0;1.0;1.0;3.0;3163.0;20.0;2020-Oct-14;2020-10-14
64;1079260;0;0.0;;;;1.0;0.0;0.0;1.0;3986.0;;2020-Dec-17;2020-12-17
65;1349060;0;0.0;;;;1.0;0.0;0.0;1.0;831.0;11.0;2020-Jul-22;2020-07-22
66;1216200;0;1.0;;1.0;;1.0;0.0;0.0;1.0;;15.0;2020-Jan-10;2020-01-10
67;805590;0;0.0;;;;1.0;0.0;0.0;1.0;859.0;27.0;2020-Jul-31;2020-07-31
68;1222140;0;0.0;full;;80.0;1.0;0.0;0.0;1.0;70698.0;48.0;2020-Jun-18;2020-06-18
69;1368860;0;1.0;;;;1.0;0.0;0.0;1.0;;;2020-Aug-19;2020-08-19
70;1468260;0;1.0;;7.0;;1.0;0.0;0.0;1.0;;24.0;2020-ec-4D;
71;1340130;0;0.0;;;;1.0;0.0;0.0;1.0;800.0;8.0;2020-ov-6N;
72;1201280;0;1.0;;;;1.0;0.0;0.0;1.0;;;2020-Jan-22;2020-01-22
73;638230;0;0.0;full;;;1.0;0.0;0.0;1.0;22573.0;14.0;2020-Jun-11;2020-06-11
74;1049410;0;0.0;full;1.0;;1.0;1.0;1.0;3.0;18770.0;27.0;2020-ov-5N;
75;914800;0;0.0;full;2.0;76.0;1.0;1.0;0.0;2.0;7096.0;24.0;2020-Jan-29;2020-01-29
76;1286710;0;0.0;;;;1.0;1.0;0.0;2.0;1769.0;;2020-Jun-22;2020-06-22
77;1162750;0;0.0;;;;1.0;1.0;1.0;3.0;2430.0;13.0;2020-Sep-21;2020-09-21
78;473950;0;0.0;full;1.0;85.0;1.0;0.0;0.0;1.0;4320.0;25.0;2020-Oct-20;2020-10-20
79;1249880;0;1.0;;1.0;;1.0;0.0;0.0;1.0;;6.0;2020-Mar-19;2020-03-19
80;1062160;0;0.0;;1.0;;1.0;1.0;1.0;3.0;6161.0;22.0;2020-May-28;2020-05-28
81;1175140;0;1.0;full;1.0;;1.0;0.0;1.0;2.0;;32.0;2020-Oct-14;2020-10-14
82;1100140;0;0.0;;;;1.0;0.0;0.0;1.0;726.0;;2020-un-5J;
83;1293820;0;0.0;;;;1.0;0.0;0.0;1.0;2290.0;;2020-May-25;2020-05-25
84;953490;0;0.0;full;2.0;75.0;1.0;1.0;1.0;3.0;18422.0;21.0;2020-Jul-23;2020-07-23
85;1217390;0;0.0;;5.0;;1.0;0.0;0.0;1.0;2732.0;25.0;2020-Jan-14;2020-01-14
