appid,new_date
1794680,2022-10-20
1332010,2022-07-19
1583720,2022-08-20
1290000,2022-07-14
1593500,2022-01-14
1533420,2022-06-16
1999360,2022-07-06
1687950,2022-10-21
1942280,2022-09-27
1684930,2022-10-13
1817070,2022-08-12
1424330,2022-03-15
1868140,2022-10-27
1985690,2022-06-17
1677770,2022-10-13
1059990,2022-09-16
1167630,2022-04-21
1455840,2022-04-28
1260520,2022-03-29
1586800,2022-12-14
1901370,2022-04-11
1948280,2022-04-08
1969080,2022-07-07
1061910,2022-09-15
2070550,2022-11-09
658920,2022-09-16
1665190,2022-10-21
1284190,2022-03-24
1718570,2022-10-13
799640,2022-07-27
1328840,2022-08-10
1927720,2022-07-12
1293180,2022-10-13
1275670,2022-09-26
2237980,2022-12-17
674140,2022-04-28
1829980,2022-03-25
1574270,2022-01-20
1350650,2022-08-19
1262350,2022-10-27
1171320,2022-10-27
2206340,2022-12-16
1776970,2022-06-17
1599600,2022-08-04
2088570,2022-09-23
2135690,2022-12-02
1740100,2022-01-01
1865780,2022-03-25
1115050,2022-03-09
1239690,2022-05-07
1451940,2022-01-21
1827680,2022-01-27
1732180,2022-06-22
1599020,2022-08-30
1935660,2022-12-12
1035990,2022-02-14
1657630,2022-09-22
1359980,2022-06-09
975370,2022-12-06
1336490,2022-11-01
1269640,2022-09-22
1902490,2022-03-01
1955330,2022-04-28
648800,2022-06-20
1148760,2022-08-25
1062520,2022-07-14
2106520,2022-12-16
615120,2022-07-19
1313140,2022-08-11
2083040,2022-10-17
1535560,2022-08-25
1848450,2022-05-03
1522870,2022-01-14
799600,2022-10-24
1997680,2022-08-31
1717770,2022-03-23
1215390,2022-04-15
2113430,2022-08-26
1574580,2022-01-21
1986840,2022-07-01
1488200,2022-06-10
2240530,2022-12-22
2058180,2022-09-14
1562700,2022-06-20
2085360,2022-12-16
949480,2022-08-26
1903370,2022-03-02
2207540,2022-11-24
2124380,2022-12-20
1888430,2022-05-11
1718870,2022-02-18
1939160,2022-11-11
1515210,2022-11-02
2057080,2022-07-08
1817940,2022-05-30
1629530,2022-08-14
1834870,2022-01-04
1706930,2022-03-11
1401590,2022-09-06
1725640,2022-03-14
1703340,2022-04-27
1205520,2022-11-15
1179080,2022-10-21
1063660,2022-11-15
1817000,2022-01-21
1768640,2022-02-11
1733060,2022-01-18
1730680,2022-07-07
1147550,2022-01-25
659540,2022-12-20
2058190,2022-09-14
1745510,2022-03-15
1888010,2022-02-18
1361510,2022-06-16
1155970,2022-09-12
1777430,2022-10-28
1135230,2022-04-20
1822910,2022-03-14
1942120,2022-08-18
1668510,2022-09-27
1817190,2022-11-18
1786790,2022-05-07
1237320,2022-11-08
2088270,2022-08-24
1487270,2022-10-25
1865060,2022-11-14
1701800,2022-11-10
1585220,2022-12-15
1588530,2022-03-31
1245620,2022-02-24
1328350,2022-04-22
1737100,2022-02-16
1850480,2022-01-15
1379870,2022-08-22
1865440,2022-01-23
1896700,2022-09-20
1954750,2022-05-02
1684410,2022-04-01
2171440,2022-12-09
964800,2022-09-23
1871310,2022-06-29
1949960,2022-12-02
1296540,2022-04-28
1694420,2022-09-16
1712830,2022-10-21
1296770,2022-02-08
1854430,2022-01-14
1910580,2022-03-09
595500,2022-09-13
1850570,2022-03-30
2088250,2022-09-11
1296830,2022-01-19
1874170,2022-03-16
1109570,2022-01-21
1287040,2022-08-02
2066550,2022-07-26
1578650,2022-05-05
1853200,2022-02-12
1881340,2022-03-01
1902710,2022-10-01
2119940,2022-10-06
1975120,2022-05-17
1970460,2022-12-14
2113540,2022-09-30
1923790,2022-05-19
2226870,2022-12-16
1878740,2022-02-18
898890,2022-07-19
1998530,2022-09-28
1545990,2022-10-13
1977530,2022-08-30
1966900,2022-06-08
1967510,2022-09-06
1182110,2022-04-21
1740930,2022-12-08
2056560,2022-07-21
1980530,2022-07-29
1984350,2022-07-22
1604380,2022-09-30
2112520,2022-09-28
1743850,2022-09-19
1785820,2022-03-10
1883260,2022-06-28
1962920,2022-05-01
1621310,2022-02-25
1895300,2022-06-14
1679210,2022-09-26
1834920,2022-03-21
553420,2022-03-16
1846170,2022-03-10
1425760,2022-08-10
1723260,2022-12-19
1919460,2022-03-23
2085800,2022-08-18
1755100,2022-06-02
1051690,2022-03-28
1932570,2022-04-29
1988540,2022-09-06
1210320,2022-12-13
1608290,2022-01-23
2059670,2022-10-20
920210,2022-04-05
980610,2022-08-19
552080,2022-04-12
1985260,2022-07-15
2067920,2022-09-19
1532710,2022-10-18
1249480,2022-07-21
1761390,2022-05-26
1615290,2022-04-29
1944250,2022-04-22
1511780,2022-08-03
1944240,2022-04-11
1428100,2022-03-02
1791610,2022-02-14
1954200,2022-09-27
2060130,2022-09-19
1150760,2022-09-05
1594320,2022-05-31
1684660,2022-08-17
1972710,2022-05-30
1070790,2022-06-10
1972440,2022-05-12
1621690,2022-03-08
950620,2022-10-06
1309000,2022-01-14
1975360,2022-05-22
2062930,2022-07-23
1457220,2022-09-30
1808400,2022-04-18
2165610,2022-10-26
1927740,2022-07-12
1572920,2022-01-12
1338580,2022-11-14
1921900,2022-03-28
2091250,2022-08-02
1720850,2022-03-29
1769170,2022-03-23
1600900,2022-01-22
1135810,2022-10-04
1689910,2022-04-15
1986880,2022-07-12
1850550,2022-05-13
1732750,2022-06-21
1592670,2022-05-24
1766740,2022-12-09
1182900,2022-10-17
2173570,2022-11-05
1570010,2022-03-01
1722520,2022-03-03
1477070,2022-12-20
1916970,2022-04-01
1709170,2022-10-13
2084930,2022-10-11
1908670,2022-03-11
1792250,2022-01-25
1076130,2022-04-15
2125770,2022-10-15
1900340,2022-03-14
1460220,2022-10-31
2081460,2022-08-05
1568540,2022-06-17
1983000,2022-05-19
896520,2022-10-14
1859470,2022-08-25
2005660,2022-06-29
1726400,2022-09-15
1975180,2022-05-13
1573630,2022-09-30
1341290,2022-05-10
1697700,2022-02-24
1669420,2022-08-24
1594940,2022-05-17
1399240,2022-02-16
1909420,2022-06-01
2124780,2022-10-24
1918520,2022-05-23
1783110,2022-02-15
1028350,2022-01-20
1896170,2022-05-12
1373950,2022-03-30
2009720,2022-11-30
1779560,2022-06-03
1769320,2022-04-13
1865370,2022-03-28
2180300,2022-11-17
634410,2022-05-24
987480,2022-03-09
2099080,2022-12-16
1721170,2022-03-04
1835440,2022-01-10
1829420,2022-07-14
1885750,2022-09-09
844670,2022-11-21
1771360,2022-09-01
1600500,2022-11-10
2074480,2022-11-17
2185770,2022-12-02
1841390,2022-01-17
2151290,2022-12-12
1253920,2022-04-28
1601280,2022-03-10
1949740,2022-05-01
1158160,2022-10-11
1740850,2022-03-01
1229240,2022-12-08
1182310,2022-09-28
1385380,2022-08-16
704920,2022-05-24
1957990,2022-05-05
1346720,2022-07-27
2098790,2022-09-16
2060480,2022-07-05
374190,2022-02-14
2108600,2022-10-11
1862520,2022-08-09
1739070,2022-10-29
1921780,2022-05-23
1295920,2022-08-02
1950570,2022-08-19
1705180,2022-09-06
1089630,2022-02-14
1701190,2022-01-18
1730590,2022-11-03
1294420,2022-08-16
2066020,2022-11-07
1221250,2022-03-24
1611410,2022-03-31
1668690,2022-10-13
837350,2022-10-21
1141580,2022-09-09
1469620,2022-05-30
1893620,2022-07-11
2022180,2022-12-18
2022270,2022-10-08
1637730,2022-03-31
856890,2022-09-08
1811950,2022-07-27
1420810,2022-04-25
1432050,2022-01-18
887570,2022-02-11
1571940,2022-07-22
2106810,2022-11-16
1129540,2022-02-09
2102020,2022-11-10
1798780,2022-01-20
1940040,2022-05-02
2160000,2022-10-10
1776160,2022-01-07
2092620,2022-08-28
1932230,2022-06-10
2013900,2022-09-04
1718910,2022-02-11
1789650,2022-04-08
1371720,2022-06-02
1840660,2022-11-22
1390190,2022-05-20
1697720,2022-02-04
1813150,2022-05-19
1098280,2022-06-21
876160,2022-07-08
1029650,2022-06-22
1782120,2022-11-15
1637320,2022-09-27
2197490,2022-12-18
1647550,2022-10-19
2153330,2022-12-23
1667320,2022-11-14
1846460,2022-12-02
1650590,2022-06-16
1859280,2022-02-06
1970580,2022-08-15
1410640,2022-03-18
1360390,2022-11-21
1848960,2022-02-25
1172800,2022-02-22
2010250,2022-06-08
2092750,2022-08-19
1353920,2022-03-31
1261220,2022-12-19
889910,2022-07-21
1608070,2022-12-13
1917920,2022-04-14
2089350,2022-11-19
2184130,2022-12-01
1245430,2022-03-11
1319460,2022-08-15
1231880,2022-04-28
1967870,2022-07-15
1714590,2022-01-10
2000150,2022-07-25
1462040,2022-06-17
1929360,2022-04-01
2000280,2022-06-21
1866180,2022-08-03
1192440,2022-01-19
1780370,2022-02-21
1878570,2022-04-22
1953060,2022-05-25
1229390,2022-03-25
1161580,2022-05-25
981430,2022-06-23
287310,2022-07-29
1854980,2022-02-04
1329500,2022-09-22
1587130,2022-02-10
1136370,2022-07-28
1069190,2022-05-31
765480,2022-06-16
2020860,2022-11-24
1901490,2022-06-15
2196980,2022-12-09
1918300,2022-04-21
1787500,2022-08-01
1919550,2022-03-31
1877960,2022-05-02
1857650,2022-04-29
1669360,2022-09-09
992300,2022-01-26
2129490,2022-12-01
1890120,2022-03-18
1016180,2022-10-17
1996420,2022-05-30
1031460,2022-12-21
1996210,2022-12-16
1988940,2022-05-27
2097180,2022-09-22
1927780,2022-08-31
1897120,2022-09-29
1145130,2022-09-16
1766010,2022-08-25
2157110,2022-11-30
1684100,2022-01-07
1980390,2022-06-09
1411740,2022-07-13
1086850,2022-01-13
357330,2022-06-04
1604030,2022-05-17
1548940,2022-04-14
1223870,2022-04-22
2010420,2022-06-08
1922560,2022-05-16
1926680,2022-04-13
1491490,2022-03-31
1805200,2022-03-10
1280930,2022-04-12
1986760,2022-08-02
2058150,2022-07-19
1989990,2022-05-26
1121640,2022-09-14
968250,2022-09-14
1478160,2022-08-05
869480,2022-11-11
1740680,2022-05-24
2058950,2022-08-12
1504340,2022-06-10
2025610,2022-10-03
1788780,2022-01-07
1190170,2022-02-07
962130,2022-09-27
261550,2022-10-25
1911390,2022-04-01
1861290,2022-02-02
1297210,2022-04-21
1718130,2022-09-13
1531490,2022-10-19
2061440,2022-10-07
2168600,2022-11-08
1863080,2022-03-10
1378800,2022-09-21
1659420,2022-10-19
1671280,2022-05-19
1730260,2022-11-30
2113050,2022-09-02
2017370,2022-06-17
2027550,2022-08-11
2093900,2022-08-30
1510460,2022-12-15
2138700,2022-09-27
1891700,2022-03-17
2110460,2022-10-26
2111060,2022-09-09
1603410,2022-05-11
1546400,2022-08-04
2143770,2022-09-29
1919750,2022-03-15
1574240,2022-06-15
1896880,2022-03-15
1601340,2022-04-29
1668190,2022-11-09
1831250,2022-10-28
1676130,2022-10-18
1680550,2022-07-20
1837330,2022-05-18
1583230,2022-12-13
1533470,2022-06-01
1341820,2022-07-19
852780,2022-07-26
1946430,2022-07-07
1352930,2022-08-25
1059980,2022-07-21
1910680,2022-03-31
2050590,2022-10-21
