;appid;required_age;is_free;controller_support;dlc;metacritic;metacritic_tf;windows;mac;linux;platforms_num;recommendations;achievements;release_date;days_after_release
0;1145360;0.0;0.0;1;1.0;93.0;1;1.0;1.0;0.0;2.0;208227.0;49.0;2020-09-17;974.0
1;546560;0.0;0.0;0;1.0;93.0;1;1.0;0.0;0.0;1.0;69405.0;42.0;2020-03-23;1152.0
2;1089980;0.0;0.0;0;0.0;;0;1.0;1.0;0.0;2.0;34695.0;82.0;2020-08-07;1015.0
3;1229490;0.0;0.0;1;0.0;;0;1.0;0.0;0.0;1.0;55302.0;0.0;2020-09-03;988.0
4;1289310;0.0;1.0;0;1.0;;0;1.0;1.0;1.0;3.0;382.0;10.0;2020-05-11;1103.0
5;1144400;0.0;0.0;0;0.0;;0;1.0;0.0;0.0;1.0;12351.0;26.0;2020-02-14;1190.0
6;1150690;0.0;0.0;1;1.0;87.0;1;1.0;1.0;0.0;2.0;50221.0;84.0;2020-12-25;875.0
7;1281930;0.0;1.0;0;0.0;;0;1.0;1.0;1.0;3.0;0.0;0.0;2020-05-16;1098.0
8;1230140;0.0;0.0;0;1.0;;0;1.0;0.0;0.0;1.0;10603.0;0.0;2020-06-18;1065.0
9;548430;0.0;0.0;1;10.0;85.0;1;1.0;0.0;0.0;1.0;166132.0;69.0;2020-05-13;1101.0
10;739630;0.0;0.0;1;0.0;;0;1.0;0.0;0.0;1.0;450335.0;0.0;2020-09-18;973.0
11;1129190;0.0;1.0;0;7.0;;0;1.0;0.0;1.0;2.0;348.0;22.0;2020-11-16;914.0
12;526870;0.0;0.0;0;0.0;;0;1.0;0.0;0.0;1.0;112729.0;0.0;2020-06-08;1075.0
13;1240210;0.0;0.0;0;1.0;89.0;1;1.0;1.0;0.0;2.0;17586.0;34.0;2020-08-06;1016.0
14;1113000;0.0;0.0;1;0.0;87.0;1;1.0;0.0;0.0;1.0;54518.0;50.0;2020-06-13;1070.0
15;427520;0.0;0.0;0;1.0;90.0;1;1.0;1.0;1.0;3.0;134543.0;38.0;2020-08-14;1008.0
16;667970;0.0;0.0;0;2.0;;0;1.0;0.0;0.0;1.0;10848.0;0.0;2020-08-03;1019.0
17;1057090;0.0;0.0;1;1.0;88.0;1;1.0;0.0;0.0;1.0;102668.0;37.0;2020-03-11;1164.0
18;632360;0.0;0.0;1;3.0;85.0;1;1.0;0.0;0.0;1.0;157356.0;118.0;2020-08-11;1011.0
19;1241510;0.0;0.0;1;0.0;;0;1.0;0.0;0.0;1.0;17906.0;0.0;2020-02-24;1180.0
20;1392820;0.0;0.0;0;1.0;;0;1.0;1.0;1.0;3.0;16035.0;3.0;2020-08-26;996.0
21;1369320;0.0;1.0;0;1.0;;0;1.0;1.0;1.0;3.0;0.0;8.0;2020-10-07;954.0
22;1277930;0.0;0.0;0;0.0;;0;1.0;0.0;0.0;1.0;2964.0;21.0;2020-12-18;882.0
23;1292940;0.0;0.0;0;0.0;;0;1.0;1.0;0.0;2.0;4375.0;72.0;2020-10-14;947.0
24;1428310;0.0;0.0;1;0.0;;0;1.0;0.0;0.0;1.0;4857.0;0.0;2020-10-12;949.0
25;1282200;0.0;0.0;1;0.0;;0;1.0;0.0;0.0;1.0;5387.0;0.0;2020-04-27;1117.0
26;1406990;0.0;0.0;0;1.0;;0;1.0;0.0;0.0;1.0;7364.0;19.0;2020-11-26;904.0
27;1434480;0.0;0.0;0;1.0;;0;1.0;0.0;0.0;1.0;2549.0;37.0;2020-10-30;931.0
28;1171370;0.0;1.0;0;2.0;;0;1.0;0.0;0.0;1.0;0.0;0.0;2020-01-28;1207.0
29;1211020;0.0;0.0;1;0.0;;0;1.0;0.0;0.0;1.0;11743.0;43.0;2020-07-08;1045.0
30;1285670;0.0;0.0;1;0.0;;0;1.0;0.0;0.0;1.0;7074.0;7.0;2020-08-06;1016.0
31;1281800;0.0;1.0;0;0.0;;0;1.0;1.0;0.0;2.0;0.0;8.0;2020-04-29;1115.0
32;1202540;0.0;0.0;0;0.0;;0;1.0;0.0;0.0;1.0;4540.0;15.0;2020-02-28;1176.0
33;897220;0.0;0.0;0;1.0;;0;1.0;0.0;0.0;1.0;2137.0;15.0;2020-02-06;1198.0
34;1337010;0.0;0.0;1;0.0;79.0;1;1.0;0.0;0.0;1.0;3692.0;9.0;2020-12-11;889.0
35;1369340;0.0;0.0;0;1.0;;0;1.0;0.0;0.0;1.0;2686.0;20.0;2020-10-12;949.0
36;610370;18.0;0.0;1;5.0;86.0;1;1.0;1.0;1.0;3.0;7810.0;36.0;2020-06-16;1067.0
37;362890;0.0;0.0;0;0.0;84.0;1;1.0;0.0;1.0;2.0;89263.0;50.0;2020-03-06;1169.0
38;1178030;0.0;1.0;0;1.0;;0;1.0;0.0;0.0;1.0;0.0;0.0;2020-01-17;1218.0
39;1126320;0.0;0.0;0;3.0;;0;1.0;0.0;1.0;2.0;9327.0;98.0;2020-02-14;1190.0
40;1172450;0.0;0.0;1;1.0;;0;1.0;1.0;0.0;2.0;4591.0;20.0;2020-10-27;934.0
41;1140270;0.0;0.0;1;9.0;;0;1.0;1.0;1.0;3.0;4213.0;49.0;2020-10-23;938.0
42;1377360;0.0;0.0;0;1.0;;0;1.0;1.0;0.0;2.0;3369.0;21.0;2020-10-03;958.0
43;1102190;0.0;0.0;1;2.0;86.0;1;1.0;0.0;0.0;1.0;16197.0;53.0;2020-05-21;1093.0
44;1241700;0.0;1.0;0;0.0;;0;1.0;1.0;0.0;2.0;0.0;7.0;2020-03-18;1157.0
45;1318690;0.0;0.0;0;2.0;;0;1.0;1.0;1.0;3.0;8655.0;45.0;2020-06-07;1076.0
46;1161870;0.0;0.0;0;1.0;;0;1.0;0.0;0.0;1.0;1731.0;14.0;2020-03-17;1158.0
47;346010;0.0;0.0;0;0.0;;0;1.0;1.0;1.0;3.0;40777.0;36.0;2020-02-18;1186.0
48;972660;0.0;0.0;1;2.0;84.0;1;1.0;1.0;1.0;3.0;27461.0;39.0;2020-08-18;1004.0
49;753640;0.0;0.0;1;2.0;85.0;1;1.0;0.0;0.0;1.0;43627.0;31.0;2020-06-18;1065.0
50;881100;0.0;0.0;0;1.0;;0;1.0;0.0;0.0;1.0;48839.0;14.0;2020-10-15;946.0
51;1349230;0.0;0.0;0;0.0;;0;1.0;1.0;1.0;3.0;5405.0;0.0;2020-07-22;1031.0
52;1237970;0.0;0.0;1;5.0;86.0;1;1.0;0.0;0.0;1.0;138895.0;50.0;2020-06-18;1065.0
53;1235140;0.0;0.0;1;6.0;83.0;1;1.0;0.0;0.0;1.0;16122.0;63.0;2020-11-10;920.0
54;1104380;0.0;0.0;0;0.0;;0;1.0;0.0;0.0;1.0;2983.0;6.0;2020-03-26;1149.0
55;1239080;0.0;0.0;0;0.0;;0;1.0;0.0;0.0;1.0;6010.0;0.0;2020-11-03;927.0
56;1449690;0.0;0.0;1;0.0;;0;1.0;0.0;0.0;1.0;6114.0;23.0;2020-10-29;932.0
57;466630;0.0;0.0;1;2.0;81.0;1;1.0;1.0;1.0;3.0;3250.0;10.0;2020-01-29;1206.0
58;1419860;0.0;1.0;0;0.0;;0;1.0;0.0;0.0;1.0;0.0;8.0;2020-11-19;911.0
59;1218900;0.0;0.0;0;0.0;;0;1.0;0.0;0.0;1.0;3564.0;512.0;2020-12-21;879.0
