;appid;required_age;is_free;controller_support;dlc;metacritic;windows;mac;linux;platforms_num;recommendations;achievements;release_date;release_date_final
0;508440;0;0.0;;1.0;;1.0;1.0;0.0;2.0;99013.0;64.0;2021-pr-1A;
1;1366540;0;0.0;;2.0;;1.0;0.0;0.0;1.0;63801.0;100.0;2021-Jan21-20;
2;1288310;0;0.0;full;1.0;;1.0;0.0;0.0;1.0;29399.0;10.0;2021-eb-3F;
3;774181;0;0.0;full;;;1.0;1.0;1.0;3.0;16003.0;24.0;2021-Feb-26;2021-02-26
4;1361320;0;0.0;;;;1.0;0.0;0.0;1.0;11575.0;9.0;2021-Feb-11;2021-02-11
5;1467450;0;1.0;;2.0;;1.0;0.0;0.0;1.0;;40.0;2021-Dec-10;2021-12-10
6;1092790;0;0.0;;1.0;;1.0;1.0;1.0;3.0;83647.0;40.0;2021-Oct-19;2021-10-19
7;1454400;0;0.0;;1.0;;1.0;0.0;0.0;1.0;42046.0;637.0;2021-ep-1S;
8;1421250;0;0.0;;1.0;;1.0;0.0;0.0;1.0;9927.0;31.0;2021-Apr-16;2021-04-16
9;1698960;0;1.0;full;1.0;;1.0;0.0;0.0;1.0;;10.0;2021-Oct-15;2021-10-15
10;1307580;0;0.0;full;1.0;79.0;1.0;1.0;1.0;3.0;2609.0;48.0;2021-Sep-17;2021-09-17
11;1507970;0;1.0;;;;1.0;1.0;0.0;2.0;;;2021-Jan-14;2021-01-14
12;1806840;0;1.0;;;;1.0;0.0;0.0;1.0;;100.0;2021-Nov-15;2021-11-15
13;1082430;0;0.0;;1.0;;1.0;1.0;0.0;2.0;9236.0;11.0;2021-pr-8A;
14;1250760;0;0.0;;1.0;;1.0;0.0;0.0;1.0;4508.0;70.0;2021-Aug-17;2021-08-17
15;1390350;0;0.0;full;1.0;;1.0;0.0;0.0;1.0;9448.0;19.0;2021-ep-9S;
16;597170;0;0.0;full;;82.0;1.0;1.0;0.0;2.0;20476.0;60.0;2021-Jul-27;2021-07-27
17;1469280;0;1.0;;;;1.0;0.0;0.0;1.0;;13.0;2021-Jan20-21;
18;1584090;0;0.0;full;8.0;;1.0;1.0;0.0;2.0;12815.0;141.0;2021-ct-1O;
19;1530140;0;0.0;;;;1.0;0.0;0.0;1.0;2040.0;10.0;2021-eb-8F;
20;1708870;0;1.0;;1.0;;1.0;0.0;0.0;1.0;;7.0;2021-Aug-13;2021-08-13
21;488860;0;0.0;;1.0;;1.0;0.0;0.0;1.0;10799.0;52.0;2021-Sep-29;2021-09-29
22;1388880;0;0.0;;1.0;81.0;1.0;1.0;0.0;2.0;18207.0;19.0;2021-Jun-30;2021-06-30
23;1604000;0;0.0;;1.0;;1.0;1.0;1.0;3.0;9904.0;10.0;2021-Dec-16;2021-12-16
24;1713610;0;1.0;;1.0;;1.0;0.0;0.0;1.0;;;2021-Aug-22;2021-08-22
25;1567800;0;0.0;;1.0;;1.0;0.0;0.0;1.0;1826.0;12.0;2021-May-14;2021-05-14
26;607080;0;0.0;full;3.0;89.0;1.0;1.0;1.0;3.0;7512.0;57.0;2021-Aug-24;2021-08-24
27;1196590;18;0.0;full;7.0;83.0;1.0;0.0;0.0;1.0;63076.0;56.0;2021-ay-6M;
28;1255980;0;1.0;;;;1.0;1.0;1.0;3.0;;;2021-Apr-19;2021-04-19
29;1426210;0;0.0;full;;89.0;1.0;0.0;0.0;1.0;107586.0;20.0;2021-Mar-25;2021-03-25
30;990630;0;0.0;full;;80.0;1.0;0.0;0.0;1.0;4627.0;22.0;2021-ct-7O;
31;1520370;0;0.0;full;;;1.0;0.0;0.0;1.0;7926.0;;2021-Dec-16;2021-12-16
32;1388770;0;0.0;;1.0;;1.0;0.0;0.0;1.0;9648.0;;2021-Jun-15;2021-06-15
33;1655140;0;1.0;full;;;1.0;1.0;0.0;2.0;;6.0;2021-Jul-29;2021-07-29
34;1806040;0;1.0;;;;1.0;1.0;0.0;2.0;;25.0;2021-Nov-18;2021-11-18
35;892970;0;0.0;full;1.0;;1.0;0.0;1.0;2.0;347171.0;;2021-eb-2F;
36;1714320;0;1.0;;1.0;;1.0;1.0;1.0;3.0;;;2021-Sep-16;2021-09-16
37;1291340;0;0.0;full;;;1.0;1.0;0.0;2.0;17245.0;;2021-Aug-26;2021-08-26
