;24_Hour_Peak;All_time_peak;average_forever;average_2weeks;median_forever;median_2weeks;price;initialprice;num_lang;required_age;controller_support;dlc;metacritic_tf;platforms_num;achievements;days_after_release;months_after_release
360v Positive;;;;;;;;;;;;;;;;;
360v Negative;0.0;0.0;0.0;0.0;0.0;0.0;4.99;4.99;38.0;0.0;0.0;0.0;0.0;1.0;0.0;947.0;31.0
accounting Positive;0.0;109.0;49.0;0.0;73.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;1900.0;63.0
accounting Negative;0.0;0.6666666666666666;0.0;0.0;0.0;0.0;3.3233333333333337;3.3233333333333337;13.333333333333334;0.0;0.3333333333333333;0.6666666666666666;0.0;1.0;0.3333333333333333;1154.6666666666667;38.0
action Positive;148.02070574511518;1702.6544181977254;185.58078156897054;17.037620297462816;148.6360454943132;18.937153689122194;9.387331583552056;10.185899679206766;7.1447944006999125;0.2677165354330709;0.40769903762029747;0.8770778652668416;0.07305336832895888;1.3073782443861184;26.21434820647419;987.8088363954506;32.44794400699912
action Negative;81.01019495617957;587.7892148095153;38.92344839921302;2.296100876408514;31.954033267751743;2.7170452512967267;6.760024145948846;7.045979252369879;4.161956716150957;0.1539974959756752;0.23153282060454303;0.3855303165802182;0.010105526739402612;1.2059560007154355;20.854319441960293;1008.4397245573243;33.13164013593275
actiongames Positive;2.0;150.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;1052.0;35.0
actiongames Negative;;;;;;;;;;;;;;;;;
adventure Positive;97.08725798011513;1044.9632391418106;185.5427786499215;15.36865515436944;167.60910518053376;17.16378859236002;9.667214809000523;10.378065149136576;6.86603872318158;0.20368916797488226;0.29984301412872844;0.5637100994243851;0.07496075353218211;1.3895866038723181;24.062009419152275;966.5277341705913;31.73992673992674
adventure Negative;77.67843336724313;389.1194303153611;40.400712105798576;1.6969481180061037;35.68514750762971;1.9032553407934893;6.953999999999999;7.2557945066124105;4.114038657171923;0.15320447609359106;0.16205493387589012;0.1977619532044761;0.010478128179043743;1.226144455747711;11.779755849440487;978.2734486266531;32.13021363173957
animation Positive;79.33333333333333;493.3333333333333;41.666666666666664;0.0;48.333333333333336;0.0;0.33;0.33;5.333333333333333;0.0;0.0;0.0;0.0;1.3333333333333333;0.0;1852.0;61.333333333333336
animation Negative;0.0;0.0;0.0;0.0;0.0;0.0;3.66;3.66;14.0;0.0;0.0;0.0;0.0;1.0;0.0;962.6666666666666;31.666666666666668
audioproduction Positive;2.5;66.0;333.0;0.0;345.0;0.0;14.995;14.995;1.0;0.0;0.0;4.5;0.0;1.0;0.0;1708.0;56.5
audioproduction Negative;0.0;0.0;0.0;0.0;0.0;0.0;8.326666666666666;8.326666666666666;17.0;0.0;0.0;0.0;0.0;1.6666666666666667;3.3333333333333335;1455.6666666666667;48.0
casual Positive;33.18629994810586;366.5622729631552;109.63648157758173;6.928256357031655;116.90710949662689;7.294369486248054;6.289225480020757;6.833432797093927;7.545537104307213;0.07083549558899845;0.1992734820965231;0.49416190970420343;0.02348209652309289;1.379605604566684;34.16113129216399;982.7090036325895;32.279320186818886
casual Negative;4.926158883336205;47.783904876787865;15.865500603136308;0.6037394451145959;15.789591590556608;0.6099431328623126;5.357033430983973;5.610968464587282;4.610029295192142;0.07754609684645873;0.13156987764949163;0.29191797346200243;0.0015509219369291745;1.2553851456143374;24.274168533517145;990.3997070480785;32.52791659486473
design Positive;79.33333333333333;494.3333333333333;41.666666666666664;0.0;48.333333333333336;0.0;0.33;0.33;17.666666666666668;0.0;0.0;0.0;0.0;1.3333333333333333;33.0;1544.3333333333333;51.0
design Negative;0.0;0.0;0.0;0.0;0.0;0.0;1.995;1.995;10.5;0.0;0.0;0.0;0.0;1.25;1.5;1331.25;44.0
documentary Positive;;;;;;;;;;;;;;;;;
documentary Negative;0.0;0.0;0.0;0.0;0.0;0.0;4.99;4.99;38.0;0.0;0.0;0.0;0.0;1.0;0.0;947.0;31.0
earlyaccess Positive;108.4497005988024;1191.2461077844312;234.35209580838324;21.92754491017964;226.20538922155689;25.29580838323353;10.617838323353293;10.903377245508981;4.8305389221556885;0.08802395209580838;0.19820359281437125;0.26646706586826346;0.0011976047904191617;1.302994011976048;14.569461077844311;846.1922155688623;27.730538922155688
earlyaccess Negative;16.483313106796118;259.04247572815535;52.015776699029125;1.8807645631067962;45.609223300970875;1.9975728155339805;8.105873786407766;8.23034890776699;3.106492718446602;0.1483616504854369;0.12682038834951456;0.13015776699029127;0.0006067961165048543;1.1783980582524272;6.477245145631068;971.129854368932;31.882584951456312
education Positive;48.6;301.2;148.4;0.0;152.4;0.0;6.393999999999999;6.393999999999999;11.0;0.0;0.0;1.8;0.0;1.2;19.8;1592.8;52.6
education Negative;0.0;0.25;0.0;0.0;0.0;0.0;8.57333333333333;8.57333333333333;5.5;0.0;0.0;0.25;0.0;1.1666666666666667;0.5833333333333334;1208.0833333333333;39.666666666666664
episodic Positive;;;;;;;;;;;;;;;;;
episodic Negative;0.0;0.0;0.0;0.0;0.0;0.0;4.99;4.99;38.0;0.0;0.0;0.0;0.0;1.0;0.0;947.0;31.0
freetoplay Positive;181.82308223911542;1154.3165169315826;221.82031789910158;30.497581202487908;172.9972356599862;34.42156185210781;0.1165238424326192;0.1345473393227367;4.81409813407049;0.08914996544574982;0.16655148583275742;0.9426399447131997;0.007601935038009675;1.390463026952315;16.37940566689703;1234.946786454734;40.693849343469246
freetoplay Negative;548.9806560134567;3438.793944491169;148.15138772077376;14.029436501261564;98.20857863751051;17.67283431455004;0.8556349873843566;0.8805298570227083;4.328847771236333;0.24726661059714045;0.0975609756097561;0.6274179983179142;0.010092514718250631;1.2018502943650127;9.530698065601346;1238.5525651808243;40.79814970563499
gamedevelopment Positive;0.0;0.0;0.0;0.0;0.0;0.0;5.99;5.99;6.0;0.0;0.0;0.0;0.0;1.0;0.0;453.0;15.0
gamedevelopment Negative;0.0;1.8333333333333333;0.0;0.0;0.0;0.0;7.325;7.325;8.5;0.0;0.0;0.3333333333333333;0.0;1.0;4.5;1039.5;34.0
gore Positive;0.4166666666666667;57.0;51.583333333333336;0.0;58.666666666666664;0.0;4.990833333333334;4.990833333333334;1.25;0.0;0.25;0.0;0.0;1.5;7.083333333333333;1875.6666666666667;61.916666666666664
gore Negative;0.0;1.4313725490196079;0.5294117647058824;0.0;0.5490196078431373;0.0;7.352352941176471;7.352352941176471;2.019607843137255;0.0;0.0196078431372549;0.0196078431372549;0.0196078431372549;1.1764705882352942;3.784313725490196;1853.7450980392157;61.254901960784316
illustration Positive;79.33333333333333;494.3333333333333;41.666666666666664;0.0;48.333333333333336;0.0;0.33;0.33;17.666666666666668;0.0;0.0;0.0;0.0;1.3333333333333333;33.0;1544.3333333333333;51.0
illustration Negative;0.0;0.0;0.0;0.0;0.0;0.0;1.995;1.995;10.5;0.0;0.0;0.0;0.0;1.25;1.5;1331.25;44.0
