developer	publisher	positive	negative	average_forever	average_2weeks	median_forever	median_2weeks	price	initialprice	languages	tags	genre	appid	num_lang
Landfall	Landfall	103209	2210	1074	136	311	238	19.99	19.99	English, French, Italian, German, Spanish - Spain, Japanese, Simplified Chinese, Portuguese - Portugal, Russian	{'Sandbox': 3061, 'Simulation': 3052, 'Funny': 3048, 'Physics': 2460, 'Singleplayer': 2457, 'Indie': 2441, 'War': 2441, 'Adventure': 2439, 'Realistic': 2437, 'Strategy': 2427, 'Colorful': 1716, 'Fantasy': 1698, '3D': 1567, 'Comedy': 1562, 'Action': 1551, 'Historical': 1363, 'Family Friendly': 1354, 'Cute': 1298, 'Wargame': 1234, 'Memes': 1231}	Indie, Simulation, Strategy	508440	14
Youthcat Studio	Gamera Games	68853	1561	3589	391	1113	671	19.99	19.99	English, Simplified Chinese	{'Space': 400, 'Automation': 391, 'Base-Building': 383, 'Building': 321, 'Open World': 313, 'Resource Management': 301, 'Simulation': 298, 'Sci-fi': 266, 'Management': 265, 'Sandbox': 247, 'City Builder': 208, 'Strategy': 188, 'Singleplayer': 168, 'Space Sim': 154, '3D': 136, 'Third Person': 129, 'Early Access': 96, 'Indie': 71, 'RTS': 33, 'Casual': 26}	Indie, Simulation, Strategy, Early Access	1366540	3
Shiying Studio	Gamera Games	31427	627	273	0	237	0	9.99	9.99	Simplified Chinese, English	{'Horror': 217, 'Indie': 213, 'Puzzle': 143, '2D': 130, 'Drama': 128, 'Mystery': 114, 'Atmospheric': 101, 'Singleplayer': 95, 'Psychological Horror': 90, 'Visual Novel': 79, 'Thriller': 75, 'Hand-drawn': 72, 'Old School': 70, 'Retro': 69, 'Supernatural': 64, 'RPG': 57, 'Puzzle-Platformer': 45, 'Narration': 44, 'Conversation': 44, 'Text-Based': 44}	Indie	1288310	3
7th Beat Games	7th Beat Games, indienova	17109	268	281	0	141	0	15.99	15.99	English, Simplified Chinese, Traditional Chinese, Korean, Spanish - Latin America, Portuguese - Brazil, Japanese	{'Rhythm': 163, 'Music': 159, 'Indie': 143, 'Pixel Graphics': 126, 'Great Soundtrack': 120, 'Difficult': 88, 'Level Editor': 85, 'Early Access': 43, 'Story Rich': 43, 'Action': 31, 'Singleplayer': 28, 'Local Co-Op': 22, '2D': 22, 'Adventure': 20, 'Local Multiplayer': 19, 'Psychological Horror': 6}	Indie, Early Access	774181	14
Fireproof Games	Fireproof Games	11824	146	339	0	318	0	8.99	8.99	English, French, Italian, German, Spanish - Spain, Portuguese - Brazil, Russian, Turkish	{'Puzzle': 161, 'Mystery': 108, 'Adventure': 96, 'Point & Click': 86, 'Lovecraftian': 72, 'Story Rich': 59, 'Singleplayer': 57, 'Horror': 56, 'Hidden Object': 55, 'Exploration': 50, 'Escape Room': 49, 'First-Person': 44, '3D': 37, 'Atmospheric': 32, 'Indie': 25, 'Multiplayer': 6, 'VR': 5}	Adventure	1361320	12
The Chronicles Of Myrtana Team	The Chronicles Of Myrtana Team	0	0	0	0	0	0	0.0	0.0	English, Polish, Italian, German, Russian	[]	RPG	1467450	5
Daniel Mullins Games	Devolver Digital	87707	2665	948	113	806	113	19.99	19.99	English, French, German, Spanish - Spain, Japanese, Korean, Russian, Simplified Chinese, Italian, Portuguese - Brazil, Traditional Chinese, Turkish	{'Card Battler': 739, 'Card Game': 681, 'Story Rich': 664, 'Horror': 645, 'Deckbuilding': 645, 'Dark': 528, 'Puzzle': 509, 'Rogue-lite': 489, 'Psychological': 488, 'Strategy': 486, 'Rogue-like': 459, 'Surreal': 421, 'Experimental': 364, 'First-Person': 345, 'Point & Click': 341, '3D': 326, '2D': 307, 'FMV': 289, 'Pixel Graphics': 249, 'Adventure': 188}	Adventure, Indie, Strategy	1092790	18
Orteil, DashNet	Playsaurus	43534	1253	20076	1697	10773	659	4.99	4.99	English, French, Italian, German, Spanish - Spain, Czech, Dutch, Japanese, Polish, Portuguese - Brazil, Russian, Simplified Chinese, Korean	{'Clicker': 553, 'Idler': 472, 'Casual': 416, 'Indie': 407, 'Pixel Graphics': 331, 'Management': 323, 'Collectathon': 315, 'Economy': 298, 'Funny': 274, 'Memes': 264, 'Strategy': 262, 'Building': 258, 'Resource Management': 253, '2D': 251, 'Comedy': 242, 'Simulation': 239, 'Colorful': 234, 'Touch-Friendly': 229, 'Horror': 206, 'Singleplayer': 156}	Casual, Indie, Simulation, Strategy	1454400	18
Saikono	Saikono	10637	200	324	0	353	0	12.99	12.99	English, Russian, Simplified Chinese, Italian	{'Visual Novel': 318, 'Story Rich': 312, 'Atmospheric': 308, 'Dark': 297, 'Horror': 274, 'Psychological Horror': 216, 'Choices Matter': 206, '2D': 182, 'Point & Click': 178, 'Adventure': 176, 'Interactive Fiction': 172, 'Singleplayer': 169, 'Anime': 164, 'Cute': 162, 'Violent': 131, 'Early Access': 131, 'Indie': 128, 'Great Soundtrack': 124, 'Gore': 124, 'Mature': 123}	Adventure, Indie, Early Access	1421250	5
		0	0	0	0	0	0	0.0	0.0		[]		1698960	0
