;App_id;Review;Tag
0;1145360;Overwhelmingly Positive;['Action Roguelike', 'Roguelite', 'Hack and Slash', 'Indie', 'Action', 'Mythology', 'Roguelike', 'RPG', 'Great Soundtrack', 'Singleplayer', 'Dungeon Crawler', 'Story Rich', 'Replay Value', 'Isometric', 'Difficult', 'Action RPG', 'Hand-drawn', 'Atmospheric', 'Perma Death', 'LGBTQ+']
1;546560;Overwhelmingly Positive;['VR', 'FPS', 'Story Rich', 'Horror', 'Female Protagonist', 'Shooter', 'First-Person', 'Singleplayer', 'Action', 'Zombies', 'Sci-fi', 'Atmospheric', 'Beautiful', 'Aliens', 'Adventure', 'Futuristic', 'Psychological Horror', 'Memes', 'Great Soundtrack', 'Gore']
2;1089980;Overwhelmingly Positive;['Funny', 'Multiple Endings', 'Choose Your Own Adventure', 'Memes', 'Comedy', 'Classic', 'Singleplayer', 'Choices Matter', 'Point & Click', '2D', 'Epic', 'Hand-drawn', 'Family Friendly', 'Adventure', 'Indie', 'Action', 'Interactive Fiction', 'Casual', 'Parody', 'Old School']
3;1229490;Overwhelmingly Positive;['Early Access', 'FPS', 'Arena Shooter', 'Spectacle fighter', 'Character Action Game', 'Retro', 'Blood', 'Singleplayer', 'Shooter', 'Fast-Paced', 'First-Person', 'Difficult', 'Action', 'Old School', 'Robots', '3D', 'Silent Protagonist', 'Stylized', 'Sci-fi', 'Cyberpunk']
4;1289310;Overwhelmingly Positive;['Free to Play', 'Cute', 'Demons', 'Puzzle', 'Indie', 'Anime', 'Great Soundtrack', 'Singleplayer', '2D', 'Sexual Content', 'Short', 'Comedy', 'Difficult', 'Adventure', 'Dating Sim', 'Funny', 'Hentai', 'Rhythm', 'Mature', 'Visual Novel']
5;1144400;Overwhelmingly Positive;['Visual Novel', 'Casual', 'Adventure', 'Dating Sim', 'Anime', 'NSFW', 'Cute', 'Romance', 'Story Rich', 'Multiple Endings', 'Singleplayer', 'First-Person', 'Great Soundtrack', 'Choices Matter', 'Action', 'Comedy', 'Horror', 'Family Friendly']
6;1150690;Overwhelmingly Positive;['Psychological Horror', 'Story Rich', 'Pixel Graphics', 'Indie', 'Great Soundtrack', 'RPG', 'Multiple Endings', 'Hand-drawn', 'RPGMaker', 'Horror', 'Colorful', '2D', 'Turn-Based', 'Atmospheric', 'Party-Based RPG', 'Exploration', 'JRPG', 'Anime', 'Stylized', 'Fantasy']
7;1281930;Overwhelmingly Positive;['Adventure', 'Action', 'Indie', 'Free to Play', 'RPG', 'Mod', 'Sandbox', 'Moddable', 'Multiplayer', '2D', 'Pixel Graphics', 'Building', 'Survival', 'Online Co-Op', 'Singleplayer', 'Replay Value', 'Great Soundtrack', 'Co-op', 'Open World Survival Craft', 'Difficult']
8;1230140;Overwhelmingly Positive;['Visual Novel', 'Anime', 'Casual', 'Story Rich', 'Cute', 'Adventure', 'Romance', 'Dating Sim', 'Multiple Endings', 'Great Soundtrack', 'Singleplayer', 'Emotional', 'Post-apocalyptic', 'Sci-fi', 'Drama', 'Sexual Content', 'Mature']
9;548430;Overwhelmingly Positive;['Co-op', 'PvE', 'FPS', 'Exploration', 'Procedural Generation', 'Shooter', 'Loot', 'Class-Based', 'First-Person', 'Sci-fi', 'Looter Shooter', 'Action', 'Space', 'Atmospheric', 'Combat', 'Horror', 'Survival', 'Action Roguelike', 'Dark', 'Open World']
10;739630;Overwhelmingly Positive;['Horror', 'Online Co-Op', 'Multiplayer', 'Psychological Horror', 'Co-op', 'VR', 'Supernatural', 'First-Person', 'Investigation', 'Dark', 'Mystery', 'Demons', 'Detective', 'Early Access', '3D', 'Thriller', 'Indie', 'Action', 'Tactical', 'Lovecraftian']
11;1129190;Overwhelmingly Positive;['Visual Novel', 'Romance', 'LGBTQ+', 'Character Customization', 'Dating Sim', 'Choices Matter', 'Free to Play', 'Choose Your Own Adventure', 'Cute', 'Relaxing', 'Multiple Endings', 'Interactive Fiction', 'Otome', 'Replay Value', 'Singleplayer', 'Indie', 'Funny', 'Casual', 'Drama', 'Comedy']
12;526870;Overwhelmingly Positive;['Base Building', 'Automation', 'Open World', 'Multiplayer', 'Crafting', 'Co-op', 'Resource Management', 'Building', 'Sandbox', 'Exploration', 'Adventure', 'Early Access', 'Open World Survival Craft', 'Simulation', 'Survival', 'Strategy', 'First-Person', 'Sci-fi', 'Singleplayer', 'Indie']
13;1240210;Overwhelmingly Positive;['Indie', 'Adventure', 'Casual', 'Point & Click', 'Pixel Graphics', 'Comedy', 'Funny', 'Story Rich', 'Puzzle', 'Singleplayer', '2D', 'Narration', 'Parody', 'Romance', 'Interactive Fiction', 'Great Soundtrack', 'Simulation', 'Remake', 'RPG', 'Action']
14;1113000;Overwhelmingly Positive;['JRPG', 'Great Soundtrack', 'Story Rich', 'Anime', 'Turn-Based Combat', 'RPG', 'Singleplayer', 'Party-Based RPG', 'Mystery', 'Turn-Based Strategy', 'Emotional', 'Multiple Endings', 'Detective', 'Dating Sim', 'Colorful', 'Adventure', 'Strategy', 'Visual Novel', 'Violent', 'Turn-Based']
15;427520;Overwhelmingly Positive;['Automation', 'Base Building', 'Resource Management', 'Sandbox', 'Crafting', 'Strategy', 'Multiplayer', 'Survival', 'Management', 'Open World', 'Building', 'Co-op', '2D', 'Moddable', 'Singleplayer', 'Trains', 'Simulation', 'Pixel Graphics', 'City Builder', 'Indie']
16;667970;Overwhelmingly Positive;['Flight', 'VR', 'Combat', 'Simulation', 'Jet', 'Military', 'War', 'Realistic', 'Vehicular Combat', 'Action', 'Physics', 'Artificial Intelligence', 'Naval Combat', '6DOF', 'Singleplayer', 'Level Editor', 'Futuristic', 'First-Person', 'Multiplayer', 'Sandbox']
