developer	publisher	positive	negative	average_forever	average_2weeks	median_forever	median_2weeks	price	initialprice	languages	tags	appid	num_lang
mestiez	Studio Minus	179828	2167	3389	235	677	200	9.99	9.99	English	{'Sandbox': 1406, 'Physics': 1070, 'Gore': 1055, 'Violent': 963, 'Blood': 957, 'Moddable': 954, '2D': 924, 'Singleplayer': 916, 'Destruction': 770, 'Simulation': 722, 'Funny': 661, 'Building': 632, 'Pixel Graphics': 561, 'Psychological Horror': 424, 'Indie': 423, 'Casual': 419, 'Action': 418, 'Horror': 396, 'Comedy': 384, 'Choose Your Own Adventure': 318}	1118200	1
Mega Crit Games	Mega Crit Games	128515	2775	4143	800	1986	793	24.99	24.99	English, Simplified Chinese, French, German, Korean, Russian, Japanese, Polish, Ukrainian, Spanish - Spain, Italian, Dutch, Traditional Chinese, Turkish, Thai, Portuguese - Brazil, Vietnamese	{'Roguelike Deckbuilder': 1560, 'Card Game': 1447, 'Card Battler': 1437, 'Rogue-like': 1157, 'Deckbuilding': 1004, 'Turn-Based': 847, 'Strategy': 699, 'Singleplayer': 609, 'Rogue-lite': 560, 'Replay Value': 476, 'Indie': 453, 'Difficult': 301, 'Dungeon Crawler': 286, 'RPG': 217, 'Mouse only': 192, 'Great Soundtrack': 120, '2D': 118, 'Procedural Generation': 114, 'Fantasy': 111, 'Casual': 77}	646570	23
adamgryu	adamgryu	13180	98	118	0	119	0	7.99	7.99	English, French, Spanish - Latin America, Japanese, Portuguese - Brazil	{'Adventure': 167, 'Exploration': 163, 'Indie': 156, 'Cute': 155, 'Relaxing': 153, 'Pixel Graphics': 118, 'Nature': 97, 'Great Soundtrack': 87, 'Casual': 85, 'Singleplayer': 83, 'Open World': 83, '3D Platformer': 81, 'Short': 79, 'Family Friendly': 62, 'Beautiful': 61, 'Funny': 58, 'Flight': 57, 'Walking Simulator': 56, 'Female Protagonist': 52, 'Third Person': 40}	1055540	10
Askiisoft	Devolver Digital	56267	1063	443	81	301	81	14.99	14.99	English, French, German, Spanish - Spain, Japanese, Korean, Portuguese - Brazil, Russian, Simplified Chinese, Traditional Chinese	{'Pixel Graphics': 935, 'Action': 795, 'Great Soundtrack': 767, 'Story Rich': 729, 'Platformer': 724, 'Cyberpunk': 669, '2D Platformer': 590, 'Indie': 563, '2D': 492, 'Hack and Slash': 470, 'Fast-Paced': 456, 'Violent': 441, 'Difficult': 416, 'Singleplayer': 408, 'Time Manipulation': 381, 'Ninja': 352, 'Gore': 345, 'Retro': 342, 'Noir': 235, 'Sci-fi': 215}	460950	16
CAPCOM Co., Ltd.	CAPCOM Co., Ltd.	128437	3751	3816	391	772	383	39.99	39.99	English, French, Italian, German, Spanish - Spain, Polish, Russian, Simplified Chinese, Traditional Chinese, Japanese, Korean, Portuguese - Brazil, Arabic, Thai	{'Zombies': 1203, 'Survival Horror': 1023, 'Horror': 980, 'Remake': 729, 'Singleplayer': 726, 'Third Person': 679, 'Gore': 622, 'Action': 588, 'Atmospheric': 493, 'Puzzle': 491, 'Violent': 457, 'Story Rich': 451, 'Survival': 423, 'Classic': 421, 'Multiplayer': 386, 'Female Protagonist': 354, 'Dark': 337, 'Adventure': 311, 'Shooter': 296, 'Difficult': 267}	883710	20
ghosthunter	ghosthunter	10897	152	0	0	0	0	0.0	0.0	English, Russian, Portuguese - Brazil, Spanish - Latin America, Japanese, Simplified Chinese, Spanish - Spain	{'Free to Play': 263, 'Pixel Graphics': 229, 'RPG': 194, 'Indie': 161, 'Singleplayer': 158, 'Story Rich': 151, 'Adventure': 144, 'Cute': 141, 'Multiple Endings': 125, 'RPGMaker': 119, 'Turn-Based': 111, 'Female Protagonist': 93, 'Great Soundtrack': 93, '2D': 83, 'Emotional': 55, 'Short': 44, 'JRPG': 39, 'Turn-Based Combat': 30, 'Atmospheric': 27, 'Horror': 20}	1170880	15
Hempuli Oy	Hempuli Oy	17397	346	610	6	235	6	14.99	14.99	English, Spanish - Spain, Korean, Norwegian, Polish, Thai, French, Italian, Dutch, Japanese, Portuguese - Portugal, Portuguese - Brazil, Turkish, Vietnamese, German, Czech, Traditional Chinese	{'Puzzle': 525, 'Indie': 361, 'Difficult': 318, 'Singleplayer': 240, 'Pixel Graphics': 223, 'Logic': 217, 'Cute': 192, '2D': 176, 'Programming': 175, 'Sokoban': 152, 'Great Soundtrack': 98, 'Minimalist': 48, 'Casual': 45, 'Level Editor': 24, 'Top-Down': 22, 'Retro': 18, 'Atmospheric': 16, 'Strategy': 14, 'Funny': 11, 'Souls-like': 9}	736260	24
CAPCOM Co., Ltd.	CAPCOM Co., Ltd.	18547	456	1476	102	1197	102	29.99	29.99	Japanese, English, French, German, Simplified Chinese, Traditional Chinese, Korean	{'Detective': 361, 'Visual Novel': 343, 'Story Rich': 312, 'Mystery': 288, 'Great Soundtrack': 279, 'Anime': 259, 'Adventure': 206, 'Singleplayer': 193, 'Puzzle': 190, 'Crime': 186, 'Point & Click': 154, 'Funny': 151, 'Classic': 132, 'Cult Classic': 112, 'Comedy': 105, 'Conversation': 89, '2D': 89, 'Memes': 51, 'Dynamic Narration': 49, 'Casual': 46}	787480	9
Klei Entertainment	Klei Entertainment	96310	3390	4083	739	1084	217	24.99	24.99	English, Simplified Chinese, Korean, Russian	{'Colony Sim': 1971, 'Base-Building': 1831, 'Survival': 1714, 'Resource Management': 1383, 'Building': 1125, 'Singleplayer': 1032, 'Management': 857, 'Simulation': 823, '2D': 808, 'Sandbox': 802, 'Strategy': 744, 'Space': 637, 'Indie': 504, 'Sci-fi': 458, 'Exploration': 408, 'Difficult': 399, 'Open World': 399, 'Adventure': 313, 'Multiplayer': 282, 'Space Sim': 255}	457140	5
Popcannibal	Popcannibal	8037	137	117	0	95	0	4.99	4.99	English	{'Emotional': 190, 'Relaxing': 186, 'Cozy': 184, 'Wholesome': 178, 'Multiplayer': 171, 'Experience': 166, 'Atmospheric': 160, 'Cute': 154, 'Casual': 152, 'Indie': 147, 'Music': 147, 'Experimental': 138, 'Colorful': 134, 'Asynchronous Multiplayer': 134, 'Psychological': 131, 'LGBTQ+': 120, 'Memes': 116, '3D': 106, 'Stylized': 101, 'Funny': 98}	1070710	1
拾英工作室	SakuraGame	9354	188	275	0	258	0	3.99	3.99	English, Simplified Chinese, Traditional Chinese, Japanese	{'RPG': 92, 'Adventure': 85, 'Indie': 81, 'Pixel Graphics': 77, 'RPGMaker': 75, 'Horror': 70, 'Story Rich': 58, 'Female Protagonist': 48, 'Anime': 46, 'Atmospheric': 31, 'Visual Novel': 28, 'Singleplayer': 22, 'Puzzle': 16, 'Psychological Horror': 15, '2D': 13}	1093910	6
Team Ladybug, WSS playground, Vaka Game Magazine	WSS playground, PLAYISM	11887	270	298	0	335	0	17.99	17.99	English, Simplified Chinese, Japanese, Korean, French, German	"{'Metroidvania': 366, 'Female Protagonist': 348, 'Bullet Hell': 338, 'Faith': 333, 'Side Scroller': 311, 'Exploration': 310, 'Platformer': 302, 'Time Manipulation': 301, '2D': 299, ""Beat 'em up"": 285, 'Action-Adventure': 282, 'Pixel Graphics': 281, 'Cute': 278, 'Anime': 267, 'Controller': 262, 'Action': 260, 'Singleplayer': 248, 'Adventure': 242, 'Indie': 230, 'Great Soundtrack': 189}"	851100	7
