;App_id;24_Hour_Peak;All_time_peak
0;508440;1610;13608
1;1366540;4247;59339
2;1288310;65;3678
3;774181;Invalid;Invalid
4;1361320;61;1165
5;1467450;725;9328
6;1092790;1315;17044
7;1454400;20289;67806
8;1421250;48;1805
9;1698960;9;223
10;1307580;17;388
11;1507970;Invalid;Invalid
12;1806840;Invalid;Invalid
13;1082430;11;491
14;1250760;48;1041
15;1390350;51;1118
16;597170;315;1921
17;1469280;53;868
18;1584090;601;1851
19;1530140;Invalid;Invalid
20;1708870;6;259
21;488860;241;4919
22;1388880;93;6912
23;1604000;20;297
24;1713610;9;106
25;1567800;12;297
26;607080;91;7234
27;1196590;1315;106631
28;1255980;72;4423
29;1426210;5456;32647
30;990630;54;391
31;1520370;458;1946
32;1388770;61;353
33;1655140;Invalid;Invalid
34;1806040;25;292
35;892970;25288;498478
36;1714320;42;542
37;1291340;115;1162
38;1504500;11;544
39;1764390;10;149
40;1408230;85;262
41;1830840;69;1326
42;1407420;Invalid;Invalid
43;1290490;23;373
44;1715460;11;981
45;1727650;107;1182
46;1641270;Invalid;Invalid
47;1609230;27;504
48;1190000;2109;22530
49;1161170;20;1300
50;1127500;392;9914
51;337320;311;1365
52;874260;24;585
53;1268960;6;144
54;1546570;75;1722
55;1182620;15;1089
56;1625450;1845;16715
57;1123450;25;313
58;824600;401;438
59;1536610;564;3196
60;1557740;733;2208
61;1506980;19;887
62;1481400;12;729
63;939400;189;10233
64;584640;12;148
65;1566410;21;2592
66;1227650;21;263
67;1800730;7;39
68;1511860;0;132
69;1229380;39;799
70;1580970;2;136
71;1304680;28;111
72;1545450;97;314
73;1206560;1302;10995
74;1088850;1050;9826
75;1369630;544;6332
76;860510;240;5368
77;763890;641;8091
78;1217060;3705;35002
79;1516240;4;112
80;1722570;1;42
81;1754720;200;762
82;1419170;1563;3909
83;1062090;1877;12354
84;1111460;39;1912
85;1255650;10;662
86;1597730;7;120
87;1510030;19;570
88;1333910;6;86
89;843380;819;7514
90;601840;252;7545
91;1277940;25;500
92;578540;Invalid;Invalid
93;1634150;32;170
94;1808800;7;161
95;1003590;132;1253
96;417360;7;149
97;1216710;67;1959
98;1310990;17;703
99;1504020;8;693
100;1637370;2;123
101;1722620;0;41
102;1205450;21;339
103;915310;24;1723
104;1639790;9;52
105;1626890;5;155
106;1440670;76;231
107;1578860;5;1342
108;1591290;24;133
109;1138850;35;388
110;1812820;711;5935
111;941460;9;936
112;1481080;30;329
113;1517850;32;249
114;1424660;11;108
115;1046480;70;6104
116;1158850;254;2520
117;1406850;10;594
118;1282730;459;51078
119;1619750;182;1025
120;1256670;1875;7211
121;795420;13;205
122;1361230;1;55
123;1421790;19;535
124;1734320;35;170
125;1423370;6;70
126;1398740;5;124
127;1147560;2358;18876
128;894020;119;3740
129;1259420;4155;27380
130;1601680;Invalid;Invalid
131;1782210;19771;56042
132;1435790;782;6616
133;1603980;8;127
134;1456880;4;75
135;1730360;18;122
136;1662840;9;656
137;1554840;Invalid;Invalid
138;1213230;Invalid;Invalid
139;1280770;414;786
140;1484720;108;500
141;1369670;221;588
142;1372320;14;270
143;1476340;Invalid;Invalid
144;1499120;8;210
145;1173770;89;3064
146;1119980;14;222
147;1178830;89;13637
148;1345820;20;128
149;598550;20;319
150;1546860;20;136
151;1564090;1;17
152;1599880;14;99
153;1245540;7;135
154;1078420;Invalid;Invalid
155;1227690;15;324
156;1494190;Invalid;Invalid
157;1638660;2;125
158;1195290;21;1942
159;1710930;15;264
160;1688580;Invalid;Invalid
161;1674170;390;1936
162;1173010;Invalid;Invalid
163;829280;6;128
164;1532510;3;18
165;1569040;12898;88706
166;1203630;10;833
167;1511270;Invalid;Invalid
168;1682490;Invalid;Invalid
169;1135690;797;2039
170;1444480;65;303
171;1444300;7;14
172;1274570;1345;7951
173;1144200;3406;19269
174;1591570;0;41
175;1555710;6;221
176;1292020;8;35
177;1675670;0;70
178;1477790;0;172
179;1508460;Invalid;Invalid
180;1269950;9;356
181;1328670;3553;59650
182;1342330;200;2145
183;1673190;10;232
184;720620;824;1403
185;976620;334;2406
186;1126310;46;2190
187;1648390;118;359
188;1138660;67;1817
189;1260810;32;494
190;1542810;Invalid;Invalid
191;1639610;3;59
192;1570960;Invalid;Invalid
193;1620340;87;250
194;1546790;4;307
195;1131190;26;369
196;1388590;137;1607
197;1262040;4;25
198;848450;1509;42057
199;1625080;17;71
200;1669490;Invalid;Invalid
201;1828630;Invalid;Invalid
202;471710;1847;7091
203;1822190;3;27
204;1125240;12;100
205;1558510;Invalid;Invalid
206;1198090;104;2736
207;1518770;14;163
208;1351630;33;1352
209;729000;33;337
210;1367590;47;550
211;1267910;5182;11837
212;1662480;2;64
213;1577420;8;41
214;1802720;27;214
215;1170060;5;77
216;1384160;3075;30939
217;1549550;3;98
218;1569520;10;130
219;1521580;221;840
220;1724050;11;100
221;1579380;27;1656
222;1762270;2;25
223;1413870;14;400
224;1144020;8;74
225;1587710;Invalid;Invalid
226;1173790;50;1770
227;1379560;16;110
228;1289810;47;757
229;1510950;3;1075
230;1382320;2;35
231;1587560;0;1025
232;1509960;763;16394
233;1141550;4;57
234;1525700;483;2694
235;1265820;68;1449
236;1286280;17;114
237;978460;21;671
238;1710170;33;562
239;1687550;Invalid;Invalid
240;1466640;84;2260
241;1554790;61;611
242;1095260;1;18
243;846770;356;3593
244;1665500;2;14
245;1015920;0;19
246;1456820;58;1047
247;1203710;16;432
248;1062110;29;233
249;1114070;31;240
250;1583320;1719;4666
251;1164100;2;52
252;1518810;8;59
253;1638220;72;1600
254;780310;462;21506
255;1485250;Invalid;Invalid
256;1741640;47;406
257;1209770;Invalid;Invalid
258;1248130;30529;96402
259;1820740;1;25
260;1078350;80;873
261;1534980;16;116
262;1092630;25;243
263;1066900;Invalid;Invalid
264;1587090;0;4
265;1546540;Invalid;Invalid
266;720350;Invalid;Invalid
267;1731520;Invalid;Invalid
268;1263230;6;81
269;1583280;0;25
270;1532180;Invalid;Invalid
271;1727520;Invalid;Invalid
272;1506510;15;110
273;1599470;0;11
274;930210;151;15219
275;1749630;114;848
276;1463120;170;2088
277;1335230;Invalid;Invalid
278;1129580;2036;18611
279;1382330;334;8654
280;792120;7;174
281;1397790;6;85
282;1590900;0;16
283;1714040;1471;10760
284;646240;9;111
285;1582890;11;162
286;1303950;5;104
287;599610;Invalid;Invalid
288;1105500;140;905
289;1462470;13;158
290;1567440;7;58
291;1637670;Invalid;Invalid
292;1364100;16;211
293;1683860;9;231
294;1358090;5;34
295;1271400;Invalid;Invalid
296;1608400;Invalid;Invalid
297;1139280;Invalid;Invalid
298;1712390;7;106
299;1672970;577;2901
300;989790;1;28
301;1559430;Invalid;Invalid
302;1264280;29;1012
303;1747050;14;111
304;1174640;3;38
305;1237730;2;22
306;977400;1228;7309
307;1654900;0;33
308;1377450;14;254
309;1789470;Invalid;Invalid
310;1272160;116;1544
311;1124180;133;446
312;1031900;6;19
313;1343370;1348;6020
314;1509820;2;535
315;1555110;11;120
316;1441840;9;470
317;1748610;4;115
318;1465510;Invalid;Invalid
319;1596540;1;71
320;1396890;Invalid;Invalid
321;1567420;Invalid;Invalid
322;1199030;95;3270
323;1708190;Invalid;Invalid
324;937310;288;2184
325;1093290;38;74
326;1463890;0;15
327;1000360;103;484
328;1046400;5;244
329;1614730;6;275
330;1559390;207;15326
331;1479500;Invalid;Invalid
332;1693260;7;177
333;1369520;Invalid;Invalid
334;1122680;10;64
335;909380;10;50
336;1433340;11;295
337;1029210;67;749
338;1574250;Invalid;Invalid
339;1801230;6;27
340;969760;13;251
341;1562420;84;2061
342;1151450;28;344
343;1674270;Invalid;Invalid
344;1801660;Invalid;Invalid
345;1592520;39;252
346;1527910;24;271
347;1689870;4;32
348;1431780;1;38
349;1724190;242;754
350;1203420;9;788
351;1342890;Invalid;Invalid
352;1273260;14;118
353;1448030;Invalid;Invalid
354;1336600;Invalid;Invalid
355;1630920;1;44
356;1018830;131;1490
357;740130;641;60274
358;1293830;9753;40228
359;1157700;43;63
360;1733500;Invalid;Invalid
361;860890;105;2629
362;1823360;Invalid;Invalid
363;1541250;5;84
364;900400;0;77
365;252870;87;1122
366;1159560;20;415
367;1254670;2;25
368;936790;144;7428
369;1718160;Invalid;Invalid
370;811320;22;655
371;1029780;969;14600
372;1732740;1;138
373;1395030;7;81
374;1648210;Invalid;Invalid
375;1591490;0;26
376;1354910;8;123
377;1449510;Invalid;Invalid
378;1661260;21;1031
379;1630570;Invalid;Invalid
380;1617430;Invalid;Invalid
381;1294060;Invalid;Invalid
382;1605690;0;28
383;1018800;25;232
384;1560060;5;23
385;1515200;Invalid;Invalid
386;1771070;Invalid;Invalid
387;1636420;0;86
388;1502080;Invalid;Invalid
389;1610290;1;10
390;1484280;32;328
391;1252830;9;36
392;1621140;Invalid;Invalid
393;1826860;Invalid;Invalid
394;674930;21;1083
395;1271280;19;328
396;1147890;7;57
397;861330;Invalid;Invalid
398;1508750;5;72
399;1595490;0;9
400;956450;51;170
401;1679320;2;1775
402;1541830;Invalid;Invalid
403;1671340;24;120
404;1590660;2;171
405;1427860;40;119
406;1259240;Invalid;Invalid
407;589940;Invalid;Invalid
408;1484800;1;89
409;1300600;Invalid;Invalid
410;1552550;39;684
411;1076620;0;20
412;1549030;5;1979
413;1458100;301;801
414;593640;1;73
415;1660910;6;59
416;1612420;Invalid;Invalid
417;1766790;Invalid;Invalid
418;1657170;Invalid;Invalid
419;1609100;0;18
420;1519490;5;140
421;1646030;Invalid;Invalid
422;1281160;7;470
423;1595640;0;15
424;1582570;Invalid;Invalid
425;1266100;7;213
426;1662850;Invalid;Invalid
427;1735950;24;462
428;1501410;Invalid;Invalid
429;1792610;Invalid;Invalid
430;1257290;215;3941
431;1742450;0;23
432;1596950;Invalid;Invalid
433;1486630;40;251
434;1585700;Invalid;Invalid
435;1819230;Invalid;Invalid
436;1503530;0;26
437;773370;8;731
438;1422420;15;166
439;1609080;12;162
440;1422540;2;64
441;1465360;4134;8227
442;1105510;211;826
443;1548320;Invalid;Invalid
444;629820;79;2811
445;1477810;25;480
446;1151930;Invalid;Invalid
447;1554700;Invalid;Invalid
448;1647190;20;88
449;1576240;16;141
450;1540220;8;178
451;1642220;Invalid;Invalid
452;1118310;472;767
453;1719180;Invalid;Invalid
454;1620690;2;2473
455;1396240;111;798
456;1357860;94;407
457;1721980;0;25
458;1276790;114;16297
459;1269690;28;101
460;1167170;10;99
461;1552250;0;12
462;1283410;39;1537
463;1764530;72;367
464;1773890;Invalid;Invalid
465;1551360;15882;80745
466;1593310;23;693
467;1672140;6;132
468;1607670;Invalid;Invalid
469;750290;2;113
470;1325200;2670;41273
471;1682970;151;181
472;1530760;1;17
473;1257850;1;19
474;1476970;6608;7786
475;1295500;79;2589
476;1329350;0;64
477;1581180;Invalid;Invalid
478;1726190;19;179
479;1751980;Invalid;Invalid
480;1711400;Invalid;Invalid
481;1719130;Invalid;Invalid
482;1683560;30;247
483;1823370;0;7
484;1144770;29;2695
485;1064340;24;141
486;1781350;Invalid;Invalid
487;873270;Invalid;Invalid
488;1481780;Invalid;Invalid
489;1378360;1;23
490;1496180;Invalid;Invalid
491;1569090;29;1708
492;1234940;16;275
493;1506850;8;45
494;1062140;9;344
495;973250;Invalid;Invalid
496;1158220;2;105
497;1406690;1;16
498;1394930;0;14
499;925950;Invalid;Invalid
500;1212410;2;44
501;1424710;4;380
502;1508920;Invalid;Invalid
503;956140;Invalid;Invalid
504;1229060;Invalid;Invalid
505;1306630;31;1139
506;1783200;3;85
507;1273080;1;8
508;1667920;Invalid;Invalid
509;1569620;Invalid;Invalid
510;1640720;Invalid;Invalid
511;1610870;9;246
512;1598160;6;83
513;1257860;Invalid;Invalid
514;1330470;44;4991
515;1378060;3;47
516;1517340;8;47
517;1206060;5;343
518;1163870;14;410
519;1113560;406;28509
520;1590600;Invalid;Invalid
521;1005400;Invalid;Invalid
522;1618290;15;84
523;908100;18;611
524;1400870;7;66
525;1490890;453;7939
526;1578390;92;211
527;1492680;17;114
528;1745790;Invalid;Invalid
529;1484900;Invalid;Invalid
530;1605010;6;228
531;658890;Invalid;Invalid
532;1677740;12212;43705
533;1568590;39542;701898
534;1293160;16;1794
535;1134710;168;824
536;1335530;Invalid;Invalid
537;1706090;Invalid;Invalid
538;1144910;14;64
539;1563490;1;28
540;1040230;187;3043
541;1604240;Invalid;Invalid
542;1524250;Invalid;Invalid
543;1096530;1112;8291
544;1547890;107;1619
545;1040420;41;1111
546;1462570;81;505
547;1436990;148;2688
548;1684720;Invalid;Invalid
549;1572040;Invalid;Invalid
550;1418830;0;6
