appid,new_date
1145360,2020-09-17
546560,2020-03-23
1089980,2020-08-07
1229490,2020-09-03
1289310,2020-05-11
1144400,2020-02-14
1150690,2020-12-25
1281930,2020-05-16
1230140,2020-06-18
548430,2020-05-13
739630,2020-09-18
1129190,2020-11-16
526870,2020-06-08
1240210,2020-08-06
1113000,2020-06-13
427520,2020-08-14
667970,2020-08-03
1057090,2020-03-11
632360,2020-08-11
1241510,2020-02-24
1277930,2020-12-18
1392820,2020-08-26
1369320,2020-10-07
1292940,2020-10-14
1428310,2020-10-12
1282200,2020-04-27
1406990,2020-11-26
1171370,2020-01-28
1434480,2020-10-30
1211020,2020-07-08
1285670,2020-08-06
1281800,2020-04-29
1202540,2020-02-28
897220,2020-02-06
1369340,2020-10-12
1337010,2020-12-11
610370,2020-06-16
362890,2020-03-06
1178030,2020-01-17
1126320,2020-02-14
1140270,2020-10-23
1377360,2020-10-03
1102190,2020-05-21
1318690,2020-06-07
1241700,2020-03-18
1161870,2020-03-17
1172450,2020-10-27
346010,2020-02-18
972660,2020-08-18
753640,2020-06-18
881100,2020-10-15
1349230,2020-07-22
1237970,2020-06-18
1239080,2020-11-03
1235140,2020-11-10
1104380,2020-03-26
1449690,2020-10-29
466630,2020-01-29
1419860,2020-11-19
1218900,2020-12-21
1168470,2020-01-03
837470,2020-09-23
1232180,2020-02-10
1211630,2020-10-15
1079260,2020-12-17
1349060,2020-07-22
1216200,2020-01-10
805590,2020-07-31
1222140,2020-06-18
1368860,2020-08-20
1468260,2020-12-04
1340130,2020-11-06
1201280,2020-01-22
638230,2020-06-11
1049410,2020-11-05
914800,2020-01-29
1286710,2020-06-22
473950,2020-10-20
1162750,2020-09-21
1249880,2020-03-19
1062160,2020-05-28
1175140,2020-10-14
1100140,2020-06-06
1293820,2020-05-25
953490,2020-07-23
1217390,2020-01-15
969990,2020-06-23
1275890,2020-06-12
375480,2020-08-21
1238730,2020-07-31
1367550,2020-10-15
1293860,2020-08-05
1049100,2020-01-03
1216080,2020-01-14
895870,2020-12-01
848480,2020-12-03
1297160,2020-05-15
1460090,2020-12-01
1444350,2020-10-30
1080110,2020-07-09
1071130,2020-04-09
1210250,2020-05-13
1345740,2020-10-31
470310,2020-04-23
1271710,2020-04-30
1164050,2020-09-22
1156990,2020-03-03
1045720,2020-01-28
1064460,2020-10-23
1283130,2020-04-21
326460,2020-05-22
926340,2020-02-20
1114940,2020-02-13
1246020,2020-03-19
851850,2020-01-16
913740,2020-02-20
955740,2020-04-24
1263850,2020-11-24
1151440,2020-01-23
1363430,2020-09-25
1299120,2020-06-05
1111370,2020-04-23
1200720,2020-04-03
1139890,2020-01-01
1435310,2020-10-24
946050,2020-07-09
1054490,2020-09-17
692890,2020-08-20
1004770,2020-02-25
1430420,2020-10-19
852090,2020-10-23
1295510,2020-12-04
965680,2020-08-13
1451740,2020-11-25
1129920,2020-05-15
1299370,2020-11-04
1102130,2020-02-13
875610,2020-04-20
412220,2020-08-17
418530,2020-09-29
1012790,2020-07-20
1016920,2020-09-23
874390,2020-08-04
1169200,2020-03-05
1227890,2020-06-15
1148590,2020-03-20
978780,2020-07-15
1406040,2020-09-25
960690,2020-03-26
1181400,2020-02-14
1094820,2020-06-18
1084640,2020-11-05
894940,2020-08-04
1158310,2020-09-01
1130410,2020-09-24
725480,2020-09-17
1275640,2020-04-17
1162070,2020-02-03
956030,2020-07-22
1304550,2020-09-08
1166990,2020-11-06
1145960,2020-01-09
1335560,2020-11-19
1224290,2020-03-09
1264520,2020-07-24
858260,2020-10-27
1146970,2020-09-22
1258310,2020-04-24
1416130,2020-11-06
1194840,2020-08-02
1238680,2020-03-19
573090,2020-09-17
773790,2020-03-19
823910,2020-06-24
591460,2020-08-13
1385730,2020-08-27
1275350,2020-07-08
1176050,2020-10-17
1301620,2020-09-09
985890,2020-04-30
803330,2020-07-28
1274140,2020-05-07
1194740,2020-04-02
1289640,2020-05-18
1475380,2020-12-11
1179210,2020-08-13
1139900,2020-10-27
1348700,2020-12-10
1146370,2020-02-25
1347780,2020-09-21
1290220,2020-05-25
1437830,2020-11-13
1344740,2020-09-30
1379630,2020-10-15
1389630,2020-09-01
638490,2020-03-31
1348180,2020-07-25
1052990,2020-09-10
1397920,2020-10-01
1283190,2020-10-08
1178050,2020-01-28
1223810,2020-03-16
550320,2020-09-23
904750,2020-11-06
865540,2020-05-01
1252320,2020-04-16
782330,2020-03-20
1160220,2020-09-04
785790,2020-10-22
1150950,2020-05-21
1207650,2020-12-04
1234810,2020-03-26
1416240,2020-11-19
955050,2020-03-25
876650,2020-04-17
1116580,2020-12-10
1089090,2020-03-26
1162650,2020-03-25
1347030,2020-12-04
1225780,2020-07-10
656350,2020-08-06
1382200,2020-09-30
1288170,2020-05-25
1330890,2020-10-15
1260820,2020-04-24
814370,2020-12-08
1356670,2020-11-10
1100150,2020-06-06
994910,2020-09-24
524910,2020-03-12
1450830,2020-11-19
1210030,2020-04-26
1375540,2020-09-11
1172620,2020-06-03
1212620,2020-02-21
1351170,2020-08-03
1281790,2020-08-26
1414020,2020-11-30
1078200,2020-08-27
883590,2020-03-03
1278360,2020-06-19
924980,2020-04-24
1332470,2020-08-27
893850,2020-03-05
1361700,2020-07-09
1311660,2020-07-05
1233950,2020-05-07
1284240,2020-05-05
1211110,2020-10-12
1186640,2020-10-23
