developer	publisher	positive	negative	average_forever	average_2weeks	median_forever	median_2weeks	price	initialprice	languages	tags	genre	appid	num_lang
Supergiant Games	Supergiant Games	222501	3355	1754	786	954	764	24.99	24.99	English, French, Italian, German, Spanish - Spain, Korean, Portuguese - Brazil, Russian, Simplified Chinese, Polish, Japanese	{'Action Roguelike': 1069, 'Rogue-lite': 740, 'Hack and Slash': 738, 'Indie': 721, 'Action': 685, 'Mythology': 634, 'Rogue-like': 561, 'RPG': 560, 'Great Soundtrack': 545, 'Singleplayer': 523, 'Dungeon Crawler': 507, 'Story Rich': 504, 'Replay Value': 443, 'Isometric': 338, 'Difficult': 311, 'Action RPG': 245, 'Hand-drawn': 233, 'Atmospheric': 220, 'Perma Death': 87, 'Souls-like': 80}	Action, Indie, RPG	1145360	16
Valve	Valve	78985	1276	559	76	421	89	59.99	59.99	English, French, German, Spanish - Spain, Japanese, Korean, Russian, Simplified Chinese, Spanish - Latin America, Traditional Chinese, Italian, Czech, Hungarian, Polish, Portuguese - Portugal, Portuguese - Brazil, Ukrainian, Vietnamese, Bulgarian, Greek, Danish, Dutch, Norwegian, Romanian, Thai, Turkish, Finnish, Swedish	{'VR': 2092, 'FPS': 1900, 'Story Rich': 1878, 'Horror': 1865, 'Female Protagonist': 1863, 'Shooter': 1842, 'First-Person': 1787, 'Singleplayer': 1785, 'Action': 1772, 'Zombies': 1757, 'Sci-fi': 1756, 'Atmospheric': 1756, 'Beautiful': 1735, 'Adventure': 1688, 'Aliens': 1688, 'Futuristic': 1658, 'Psychological Horror': 1651, 'Memes': 1529, 'Great Soundtrack': 666, 'Gore': 204, 'VR Only': 1}	Action, Adventure	546560	39
PuffballsUnited	Innersloth	36632	497	431	845	336	845	14.99	14.99	English	{'Funny': 650, 'Multiple Endings': 618, 'Choose Your Own Adventure': 615, 'Memes': 600, 'Comedy': 534, 'Classic': 500, 'Singleplayer': 493, 'Choices Matter': 491, 'Point & Click': 450, '2D': 388, 'Epic': 358, 'Hand-drawn': 355, 'Family Friendly': 345, 'Adventure': 343, 'Indie': 326, 'Action': 307, 'Interactive Fiction': 297, 'Casual': 296, 'Parody ': 295, 'Old School': 287}	Adventure, Casual, Indie	1089980	1
"Arsi ""Hakita"" Patala"	New Blood Interactive	60245	1019	872	320	518	485	24.99	24.99	English	{'Early Access': 2022, 'FPS': 1838, 'Arena Shooter': 1549, 'Spectacle fighter': 1466, 'Character Action Game': 1371, 'Retro': 798, 'Blood': 797, 'Singleplayer': 756, 'Shooter': 745, 'Fast-Paced': 741, 'First-Person': 673, 'Difficult': 650, 'Action': 592, 'Old School': 576, 'Robots': 559, '3D': 521, 'Silent Protagonist': 515, 'Stylized': 491, 'Sci-fi': 447, 'Cyberpunk': 407}	Action, Indie, Early Access	1229490	1
vanripper	vanripper	109327	2316	172	110	71	110	0.0	0.0	English	{'Free to Play': 1094, 'Cute': 828, 'Demons': 816, 'Puzzle': 800, 'Indie': 696, 'Anime': 688, 'Great Soundtrack': 677, 'Singleplayer': 597, '2D': 586, 'Sexual Content': 505, 'Short': 497, 'Comedy': 482, 'Difficult': 379, 'Adventure': 367, 'Dating Sim': 294, 'Funny': 273, 'Hentai': 235, 'Rhythm': 226, 'Mature': 199, 'Visual Novel': 177}	Adventure, Free to Play, Indie	1289310	1
YUZUSOFT	HIKARI FIELD, NekoNyan Ltd.	13460	115	1027	0	907	0	34.99	34.99	English, Japanese, Simplified Chinese, Traditional Chinese	{'Visual Novel': 298, 'Casual': 271, 'Adventure': 241, 'Anime': 216, 'Dating Sim': 216, 'NSFW': 198, 'Cute': 131, 'Romance': 126, 'Story Rich': 105, 'Multiple Endings': 95, 'Singleplayer': 75, 'First-Person': 73, 'Great Soundtrack': 50, 'Action': 31, 'Choices Matter': 31, 'Comedy': 14, 'Family Friendly': 6, 'Horror': 6}	Adventure, Casual	1144400	6
OMOCAT, LLC	OMOCAT, LLC	54668	1172	1312	20	1262	20	19.99	19.99	English, Japanese, Simplified Chinese, Korean	{'Psychological Horror': 1665, 'Story Rich': 1444, 'Pixel Graphics': 1211, 'Indie': 1206, 'Great Soundtrack': 1131, 'RPG': 977, 'Multiple Endings': 939, 'Hand-drawn': 905, 'RPGMaker': 871, 'Horror': 821, 'Colorful': 689, '2D': 679, 'Turn-Based': 648, 'Atmospheric': 620, 'Party-Based RPG': 590, 'Exploration': 504, 'JRPG': 456, 'Anime': 435, 'Stylized': 426, 'Fantasy': 413}	Adventure, Indie, RPG	1150690	5
TML Team	Re-Logic, TML Team	0	0	3636	799	1227	567	0.0	0.0	English, French, Italian, German, Spanish - Spain, Polish, Portuguese - Brazil, Russian, Simplified Chinese	[]	Action, Adventure, Free to Play, Indie, RPG	1281930	14
Frontwing, 枕	ANIPLEX.EXE	11361	136	321	0	340	0	20.99	20.99	English, Simplified Chinese, Traditional Chinese, Japanese	{'Visual Novel': 219, 'Anime': 155, 'Casual': 148, 'Story Rich': 147, 'Cute': 132, 'Adventure': 126, 'Romance': 122, 'Dating Sim': 107, 'Multiple Endings': 91, 'Great Soundtrack': 79, 'Singleplayer': 71, 'Emotional': 38, 'Post-apocalyptic': 33, 'Sci-fi': 28, 'Drama': 26, 'Sexual Content': 20, 'Mature': 13}	Adventure, Casual	1230140	6
Ghost Ship Games	Coffee Stain Publishing	201799	6145	2988	519	769	234	29.99	29.99	English, French, German, Spanish - Spain, Polish, Portuguese - Brazil, Russian, Simplified Chinese, Traditional Chinese, Ukrainian, Italian, Japanese, Korean, Turkish, Spanish - Latin America	{'Co-op': 1583, 'PvE': 1426, 'FPS': 1389, 'Exploration': 1356, 'Procedural Generation': 1346, 'Loot': 1325, 'Shooter': 1325, 'Class-Based': 1299, 'First-Person': 1288, 'Sci-fi': 1238, 'Looter Shooter': 1231, 'Action': 1220, 'Space': 1217, 'Atmospheric': 1188, 'Combat': 1180, 'Horror': 1136, 'Survival': 1093, 'Action Roguelike': 1086, 'Dark': 1084, 'Open World': 975}	Action	548430	24
