;App_id;24_Hour_Peak;All_time_peak
0;1794680;Invalid;Invalid
1;1332010;Invalid;Invalid
2;1583720;Invalid;Invalid
3;1290000;Invalid;Invalid
4;1593500;Invalid;Invalid
5;1533420;Invalid;Invalid
6;1999360;Invalid;Invalid
7;1687950;Invalid;Invalid
8;1942280;Invalid;Invalid
9;1684930;Invalid;Invalid
10;1817070;Invalid;Invalid
11;1424330;Invalid;Invalid
12;1868140;Invalid;Invalid
13;1985690;Invalid;Invalid
14;1677770;Invalid;Invalid
15;1059990;Invalid;Invalid
16;1167630;Invalid;Invalid
17;1455840;Invalid;Invalid
18;1260520;Invalid;Invalid
19;1586800;Invalid;Invalid
20;1901370;Invalid;Invalid
21;1948280;Invalid;Invalid
22;1969080;Invalid;Invalid
23;1061910;Invalid;Invalid
24;2070550;Invalid;Invalid
25;658920;Invalid;Invalid
26;1665190;Invalid;Invalid
27;1284190;Invalid;Invalid
28;1718570;Invalid;Invalid
29;799640;Invalid;Invalid
30;1328840;Invalid;Invalid
31;1927720;Invalid;Invalid
32;1293180;Invalid;Invalid
33;1275670;Invalid;Invalid
34;2237980;Invalid;Invalid
35;674140;Invalid;Invalid
36;1829980;Invalid;Invalid
37;1574270;Invalid;Invalid
38;1262350;Invalid;Invalid
39;1350650;Invalid;Invalid
40;1171320;Invalid;Invalid
41;2206340;Invalid;Invalid
42;1776970;Invalid;Invalid
43;1599600;Invalid;Invalid
44;2088570;Invalid;Invalid
45;2135690;Invalid;Invalid
46;1740100;Invalid;Invalid
47;1865780;Invalid;Invalid
48;1115050;Invalid;Invalid
49;1239690;Invalid;Invalid
50;1451940;Invalid;Invalid
51;1827680;Invalid;Invalid
52;1732180;Invalid;Invalid
53;1599020;Invalid;Invalid
54;1935660;Invalid;Invalid
55;1035990;Invalid;Invalid
56;1657630;Invalid;Invalid
57;1794680;Invalid;Invalid
58;1332010;Invalid;Invalid
59;1583720;Invalid;Invalid
60;1290000;Invalid;Invalid
61;1593500;Invalid;Invalid
62;1533420;Invalid;Invalid
63;1999360;Invalid;Invalid
64;1687950;Invalid;Invalid
65;1942280;Invalid;Invalid
66;1684930;Invalid;Invalid
67;1817070;Invalid;Invalid
68;1424330;Invalid;Invalid
69;1868140;Invalid;Invalid
70;1985690;Invalid;Invalid
71;1677770;Invalid;Invalid
72;1059990;Invalid;Invalid
73;1167630;Invalid;Invalid
74;1455840;Invalid;Invalid
75;1260520;Invalid;Invalid
76;1586800;Invalid;Invalid
77;1901370;Invalid;Invalid
78;1948280;Invalid;Invalid
79;1969080;Invalid;Invalid
80;1061910;Invalid;Invalid
81;2070550;Invalid;Invalid
82;658920;Invalid;Invalid
