;App_id;Review;Tag
0;1118200;Overwhelmingly Positive;['Sandbox', 'Physics', 'Gore', 'Violent', 'Blood', 'Moddable', '2D', 'Singleplayer', 'Destruction', 'Simulation', 'Funny', 'Building', 'Pixel Graphics', 'Psychological Horror', 'Indie', 'Casual', 'Action', 'Horror', 'Comedy', 'Choose Your Own Adventure']
1;646570;Overwhelmingly Positive;['Roguelike Deckbuilder', 'Card Game', 'Card Battler', 'Roguelike', 'Deckbuilding', 'Turn-Based', 'Strategy', 'Singleplayer', 'Roguelite', 'Replay Value', 'Indie', 'Difficult', 'Dungeon Crawler', 'RPG', 'Mouse only', 'Great Soundtrack', '2D', 'Procedural Generation', 'Fantasy', 'Casual']
2;1055540;Overwhelmingly Positive;['Adventure', 'Exploration', 'Indie', 'Cute', 'Relaxing', 'Pixel Graphics', 'Nature', 'Great Soundtrack', 'Casual', 'Singleplayer', 'Open World', '3D Platformer', 'Short', 'Family Friendly', 'Beautiful', 'Funny', 'Flight', 'Walking Simulator', 'Female Protagonist', 'Third Person']
3;460950;Overwhelmingly Positive;['Pixel Graphics', 'Action', 'Great Soundtrack', 'Story Rich', 'Platformer', 'Cyberpunk', '2D Platformer', 'Indie', '2D', 'Hack and Slash', 'Fast-Paced', 'Violent', 'Difficult', 'Singleplayer', 'Time Manipulation', 'Ninja', 'Gore', 'Retro', 'Noir', 'Sci-fi']
4;883710;Overwhelmingly Positive;['Zombies', 'Survival Horror', 'Horror', 'Remake', 'Singleplayer', 'Third Person', 'Gore', 'Action', 'Atmospheric', 'Puzzle', 'Violent', 'Story Rich', 'Survival', 'Classic', 'Multiplayer', 'Female Protagonist', 'Dark', 'Adventure', 'Shooter', 'Difficult']
5;1170880;Overwhelmingly Positive;['Free to Play', 'Pixel Graphics', 'RPG', 'Indie', 'Singleplayer', 'Story Rich', 'Adventure', 'Cute', 'Multiple Endings', 'RPGMaker', 'Turn-Based', 'Female Protagonist', 'Great Soundtrack', '2D', 'Emotional', 'Short', 'JRPG', 'Turn-Based Combat', 'Atmospheric', 'Horror']
6;736260;Overwhelmingly Positive;['Puzzle', 'Indie', 'Difficult', 'Singleplayer', 'Pixel Graphics', 'Logic', 'Cute', '2D', 'Programming', 'Sokoban', 'Great Soundtrack', 'Minimalist', 'Casual', 'Level Editor', 'Top-Down', 'Retro', 'Atmospheric', 'Strategy', 'Funny', 'Souls-like']
7;787480;Overwhelmingly Positive;['Detective', 'Visual Novel', 'Story Rich', 'Mystery', 'Great Soundtrack', 'Anime', 'Adventure', 'Singleplayer', 'Puzzle', 'Crime', 'Point & Click', 'Funny', 'Classic', 'Cult Classic', 'Comedy', '2D', 'Conversation', 'Memes', 'Dynamic Narration', 'Casual']
8;457140;Overwhelmingly Positive;['Colony Sim', 'Base Building', 'Survival', 'Resource Management', 'Building', 'Singleplayer', 'Management', 'Simulation', '2D', 'Sandbox', 'Strategy', 'Space', 'Indie', 'Sci-fi', 'Exploration', 'Difficult', 'Open World', 'Adventure', 'Multiplayer', 'Space Sim']
9;1070710;Very Positive;['Emotional', 'Relaxing', 'Cozy', 'Wholesome', 'Multiplayer', 'Experience', 'Atmospheric', 'Cute', 'Casual', 'Music', 'Indie', 'Experimental', 'Asynchronous Multiplayer', 'Colorful', 'Psychological', 'LGBTQ+', 'Memes', '3D', 'Stylized', 'Funny']
