;App_id;24_Hour_Peak;All_time_peak
0;294100;20930;60742
1;960090;13428;53891
2;504230;1234;4148
3;588650;4553;14880
4;264710;4205;50876
5;519860;78;557
6;531510;89;918
7;683320;93;1345
8;432350;72;2631
9;629730;1024;10235
10;617670;30;711
11;644560;178;8116
12;242760;4589;74816
13;653530;94;1220
14;909080;140;1828
15;844930;10;383
16;871720;293;11094
17;638970;850;8907
18;899970;20;473
19;888790;46;196
20;233860;5294;10935
21;456750;87;1331
22;508900;9;364
23;553310;109;2538
24;858940;4;34
25;760890;8;67
26;897330;620;1535
27;880950;39;306
28;825630;78;774
29;860950;37;667
30;730820;46;374
31;714010;4557;10354
32;787860;4702;59234
33;995460;Invalid;Invalid
34;788770;11;346
35;790060;7;36
36;816340;181;2000
37;568220;1283;3748
38;342560;140;1313
39;885810;10;151
40;799070;8;732
41;613100;3505;12990
42;334940;18;281
43;590380;277;14573
44;866800;56;4101
45;976940;1;30
46;609320;115;898
47;743390;Invalid;Invalid
48;673950;1291;6843
49;686200;71;2417
50;528230;186;3407
51;765410;70;286
52;604330;Invalid;Invalid
53;802870;10;139
54;589780;16;276
55;855640;5;85
56;567380;5;116
57;453090;157;1393
58;368340;105;3368
59;753220;Invalid;Invalid
60;917680;6;28
61;530320;6;219
62;882710;6;83
63;868520;20;218
64;336140;8;322
65;884260;6;115
66;858760;0;28
67;804700;6;50
68;868980;Invalid;Invalid
69;764790;68;679
70;744190;125;1124
71;781440;5;43
72;668350;11;45
73;945360;5704;438524
74;802890;39;198
75;846470;8;280
76;758530;0;43
77;852110;3;7
78;793350;2;403
79;658850;103;1888
80;587220;2;163
81;850000;9;133
82;773670;0;42
83;791470;26;107
84;743450;86;1510
85;927890;4;382
86;648390;13;274
87;862570;2;631
88;838310;4;954
89;979600;Invalid;Invalid
90;787070;Invalid;Invalid
91;291860;33;2455
92;754150;81;146
93;795100;15;1643
94;809020;6;74
95;882110;Invalid;Invalid
96;857450;11;80
97;410340;364;619
98;389140;31;218
99;747250;3;49
100;824270;1724;2748
101;323190;1899;29195
102;525510;40;560
103;650700;44;463
104;600480;41;903
105;815780;57;420
106;971680;1;43
107;878750;16;426
108;393190;Invalid;Invalid
109;731490;196;3742
110;599390;225;985
111;744810;Invalid;Invalid
112;820730;Invalid;Invalid
113;845070;25;7220
114;510420;12;118
115;963710;8;74
116;843260;37;690
117;334920;141;922
118;801630;160;959
119;944220;151;1434
120;785890;6;129
121;859680;2;361
122;963690;3;298
123;744800;Invalid;Invalid
124;748490;103;1658
125;888090;Invalid;Invalid
126;733340;11;114
127;716490;25;750
128;753420;162;3329
129;616250;Invalid;Invalid
130;736190;227;32527
131;757240;15;225
132;863550;581;356867
133;233610;17;452
134;822930;Invalid;Invalid
135;535930;768;34014
136;904740;Invalid;Invalid
137;600990;5;131
138;848350;38;419
139;648580;36;413
140;688420;82;1136
141;448850;21;263
142;473770;18;109
143;673880;129;2758
144;349250;2;149
145;827290;1;17
146;601050;103;1368
147;783120;Invalid;Invalid
148;822760;Invalid;Invalid
149;922460;19;420
150;802880;31;200
151;355170;7;40
152;931500;67;1178
153;469820;20;564
154;876850;1;782
155;950460;2;116
156;774461;Invalid;Invalid
157;866540;Invalid;Invalid
158;758090;0;70
159;743130;6;96
160;882140;12;54
161;800620;Invalid;Invalid
162;956240;16;41
163;841770;0;186
164;678950;1337;44234
165;925440;Invalid;Invalid
166;570940;1608;24505
167;728880;6289;11787
168;445980;654;6436
169;417290;12;856
170;963000;4;41
171;701160;802;4064
172;428080;1;146
173;757480;Invalid;Invalid
174;658550;Invalid;Invalid
175;882790;69;16334
176;631510;227;758
177;762610;1;19
178;620210;Invalid;Invalid
179;322450;10;448
180;922400;13;60
181;16900;741;1667
182;766280;Invalid;Invalid
183;853550;10;584
184;285920;525;5714
185;955560;19;264
186;757210;227;640
187;760060;53;4013
188;917290;1;6
189;792100;120;701
190;746400;0;61
191;949370;Invalid;Invalid
192;952420;Invalid;Invalid
193;628070;829;1692
194;913010;Invalid;Invalid
195;851530;1;76
196;943380;23;2602
197;891510;Invalid;Invalid
198;812140;4396;61984
199;702670;50;619
200;852480;20;112
201;959750;0;17
202;692130;0;19
203;608110;Invalid;Invalid
204;779990;Invalid;Invalid
205;396710;8;328
206;873200;Invalid;Invalid
207;823580;Invalid;Invalid
208;896460;Invalid;Invalid
209;701380;0;4
210;782340;2;56
211;564050;2;222
212;961660;2;12
213;332950;209;1419
214;559620;4;26
215;833040;Invalid;Invalid
216;845880;Invalid;Invalid
217;847370;67;2296
218;771310;Invalid;Invalid
219;942850;Invalid;Invalid
220;810660;1;97
221;598700;28;1249
222;829110;113;848
223;510680;Invalid;Invalid
224;742300;31;1605
225;907000;Invalid;Invalid
226;416600;17;592
227;664750;3;39
228;923260;3;30
229;880940;2131;20334
230;431930;2;2597
231;840010;63;331
232;796790;0;32
233;591630;Invalid;Invalid
234;864060;9;97
235;590950;Invalid;Invalid
236;851670;9;76
237;595520;302;8362
238;742250;4;51
239;890750;Invalid;Invalid
240;315460;24;842
241;534550;15;739
242;836490;Invalid;Invalid
243;527230;3508;9625
244;762930;Invalid;Invalid
245;466110;Invalid;Invalid
246;425770;Invalid;Invalid
247;950140;Invalid;Invalid
248;939620;5;584
249;714800;3;37
250;468920;106;2476
251;792030;Invalid;Invalid
252;792050;Invalid;Invalid
253;893730;Invalid;Invalid
254;702810;Invalid;Invalid
255;706560;Invalid;Invalid
256;758190;602;5953
257;828580;3;45
258;800600;10;129
259;823130;606;29438
260;814540;54;166
261;290510;1;66
262;821890;13;194
263;979260;Invalid;Invalid
264;937850;Invalid;Invalid
265;587110;23;259
266;603850;2128;2889
267;774091;Invalid;Invalid
268;867380;2;7
269;736570;5;22
270;842780;93;294
271;699180;Invalid;Invalid
272;619500;5;35
273;651500;Invalid;Invalid
274;978270;Invalid;Invalid
275;675240;Invalid;Invalid
276;488550;18;74
277;767930;Invalid;Invalid
278;966630;2;47
279;904320;Invalid;Invalid
280;869840;Invalid;Invalid
281;466560;4552;20083
282;857690;4;90
283;737800;278;9559
284;704450;1071;2397
285;853770;17;123
286;778330;Invalid;Invalid
287;716710;12;1442
288;560430;12;61
289;888040;9;57
290;581360;0;31
291;718560;89;1201
292;758370;162;730
293;936160;24;248
294;542050;3;139
295;973760;136;3352
296;750170;4;37
297;833140;8;37
298;252490;123286;244394
299;323220;81;499
300;864300;Invalid;Invalid
301;721390;2;8
302;375440;2;204
303;756590;1;386
304;865880;Invalid;Invalid
305;836450;1;99
306;925930;11;51
307;733300;Invalid;Invalid
308;865270;Invalid;Invalid
309;936720;12;108
310;834740;32;1003
311;935580;7;151
312;948100;Invalid;Invalid
313;855860;37;146
314;609490;Invalid;Invalid
315;685400;Invalid;Invalid
316;936190;12;66
317;691160;Invalid;Invalid
318;734920;0;30
319;938310;5;24
320;705220;84;1283
321;746710;Invalid;Invalid
322;862690;0;406
323;510540;2;40
324;777200;0;55
325;398030;2;89
326;871570;Invalid;Invalid
327;838390;Invalid;Invalid
328;858050;Invalid;Invalid
329;828070;45;690
330;864100;Invalid;Invalid
331;846880;Invalid;Invalid
332;630640;Invalid;Invalid
333;228380;796;3827
334;965860;Invalid;Invalid
335;560130;595;22639
336;879510;10;87
337;889480;Invalid;Invalid
338;528060;3;207
339;761670;Invalid;Invalid
340;704850;429;5866
341;898450;Invalid;Invalid
342;932500;0;5
343;741250;Invalid;Invalid
344;760330;Invalid;Invalid
345;525620;28;154
346;976420;Invalid;Invalid
347;431280;1;45
348;821790;Invalid;Invalid
349;846670;Invalid;Invalid
350;880400;Invalid;Invalid
351;974090;Invalid;Invalid
352;906390;Invalid;Invalid
353;677120;263;2654
354;966680;Invalid;Invalid
355;965810;Invalid;Invalid
356;848280;1;6
357;856540;Invalid;Invalid
358;582010;27160;329333
359;895220;Invalid;Invalid
360;809870;Invalid;Invalid
361;375530;127;1020
362;899190;Invalid;Invalid
363;612470;18;326
364;815450;0;61
365;818760;Invalid;Invalid
366;698540;38;670
367;597230;4;1861
368;704470;0;7
369;899610;Invalid;Invalid
370;648350;429;60296
371;771240;Invalid;Invalid
372;893030;6;4541
373;938810;Invalid;Invalid
374;868360;364;2648
375;746920;Invalid;Invalid
376;745560;0;311
377;636100;7;234
378;959410;0;9
379;717850;Invalid;Invalid
380;952040;75;424
381;843440;0;6
382;871280;1;99
383;974950;0;66
384;465020;2;74
385;579180;108;530
386;822830;Invalid;Invalid
387;761620;34;1939
388;907470;5;161
389;745890;Invalid;Invalid
390;950860;26;532
391;955400;2;10
392;942200;Invalid;Invalid
393;625740;Invalid;Invalid
394;906120;Invalid;Invalid
395;719660;0;2
396;994280;349;10125
397;818500;Invalid;Invalid
398;818320;43;284
399;861400;Invalid;Invalid
400;797570;Invalid;Invalid
401;758330;23;1280
402;842910;7;81
403;797390;Invalid;Invalid
404;805820;0;4
405;803600;153;2180
406;360620;15;1506
407;810230;0;43
408;846110;30;432
409;467760;0;68
410;888990;Invalid;Invalid
411;765710;Invalid;Invalid
412;751640;Invalid;Invalid
413;831570;Invalid;Invalid
414;771070;0;15
415;513490;3;28
416;947300;12;613
417;599140;1241;16973
418;613830;120;943
419;799510;Invalid;Invalid
420;843430;Invalid;Invalid
